Date,HPI,Treatment,Target,Name,Sample,Biorep,Baseline,MNE_fc
20250825,6,WT,FRK1,6hpi-WT,4,1,Time0,25.44181636
20250825,6,WT,WRKY29,6hpi-WT,4,1,Time0,4.493693987
20250825,6,rmlC,FRK1,6hpi-rmlC,37,1,Time0,68.39161918
20250825,6,rmlC,WRKY29,6hpi-rmlC,37,1,Time0,12.74868837
20250825,6,tagG,FRK1,6hpi-tagG,35,1,Time0,3.140842171
20250825,6,tagG,WRKY29,6hpi-tagG,35,1,Time0,2.798705715
20250825,6,wfgD,FRK1,6hpi-wfgD,36,1,Time0,18.29019942
20250825,6,wfgD,WRKY29,6hpi-wfgD,36,1,Time0,3.027526445
20250825,10,Mock,FRK1,10hpi-Mock,6,1,Time0,5.04937487
20250825,10,Mock,WRKY29,10hpi-Mock,6,1,Time0,0.93520783
20250825,10,OBC,FRK1,10hpi-OBC,22,1,Time0,5.315689041
20250825,10,OBC,WRKY29,10hpi-OBC,22,1,Time0,0.768247466
20250825,10,WT,FRK1,10hpi-WT,7,1,Time0,25.24226451
20250825,10,WT,WRKY29,10hpi-WT,7,1,Time0,2.147433115
20250825,10,rmlC,FRK1,10hpi-rmlC,8,1,Time0,33.8970163
20250825,10,rmlC,WRKY29,10hpi-rmlC,8,1,Time0,4.317562523
20250825,10,tagG,FRK1,10hpi-tagG,38,1,Time0,3.371348975
20250825,10,tagG,WRKY29,10hpi-tagG,38,1,Time0,1.218296496
20250825,10,wfgD,FRK1,10hpi-wfgD,9,1,Time0,1.04056458
20250825,10,wfgD,WRKY29,10hpi-wfgD,9,1,Time0,1.574893937
20250825,24,Mock,FRK1,24hpi-Mock,10,1,Time0,1.445597679
20250825,24,Mock,WRKY29,24hpi-Mock,10,1,Time0,0.361353379
20250825,24,OBC,FRK1,24hpi-OBC,23,1,Time0,7.381426494
20250825,24,OBC,WRKY29,24hpi-OBC,23,1,Time0,0.212327743
20250825,24,WT,FRK1,24hpi-WT,39,1,Time0,9.135127324
20250825,24,WT,WRKY29,24hpi-WT,39,1,Time0,3.433738344
20250825,24,rmlC,FRK1,24hpi-rmlC,24,1,Time0,15.84513358
20250825,24,rmlC,WRKY29,24hpi-rmlC,24,1,Time0,0.287544721
20250825,24,tagG,FRK1,24hpi-tagG,40,1,Time0,7.991905859
20250825,24,tagG,WRKY29,24hpi-tagG,40,1,Time0,0.955311185
20250825,24,wfgD,FRK1,24hpi-wfgD,11,1,Time0,0.42050678
20250825,24,wfgD,WRKY29,24hpi-wfgD,11,1,Time0,0.662645933
20250825,48,Mock,FRK1,48hpi-Mock,41,1,Time0,2.69657831
20250825,48,Mock,WRKY29,48hpi-Mock,41,1,Time0,0.623571044
20250825,48,OBC,FRK1,48hpi-OBC,26,1,Time0,0.93345584
20250825,48,OBC,WRKY29,48hpi-OBC,26,1,Time0,0.375434296
20250825,48,WT,FRK1,48hpi-WT,25,1,Time0,8.059083616
20250825,48,WT,WRKY29,48hpi-WT,25,1,Time0,7.988829779
20250825,48,rmlC,FRK1,48hpi-rmlC,42,1,Time0,47.3412466
20250825,48,rmlC,WRKY29,48hpi-rmlC,42,1,Time0,2.099663215
20250825,48,tagG,FRK1,48hpi-tagG,27,1,Time0,0.773809698
20250825,48,tagG,WRKY29,48hpi-tagG,27,1,Time0,0.329372018
20250825,48,wfgD,FRK1,48hpi-wfgD,43,1,Time0,0.408156329
20250825,48,wfgD,WRKY29,48hpi-wfgD,43,1,Time0,0.919515676
20250825,72,Mock,FRK1,72hpi-Mock,12,1,Time0,2.010733791
20250825,72,Mock,WRKY29,72hpi-Mock,12,1,Time0,0.845140075
20250825,72,OBC,FRK1,72hpi-OBC,44,1,Time0,18.22175344
20250825,72,OBC,WRKY29,72hpi-OBC,44,1,Time0,2.27335917
20250825,72,WT,FRK1,72hpi-WT,28,1,Time0,13.87232403
20250825,72,WT,WRKY29,72hpi-WT,28,1,Time0,12.49201882
20250825,72,rmlC,FRK1,72hpi-rmlC,13,1,Time0,2.79682634
20250825,72,rmlC,WRKY29,72hpi-rmlC,13,1,Time0,2.341493118
20250825,72,tagG,FRK1,72hpi-tagG,14,1,Time0,2.16351496
20250825,72,tagG,WRKY29,72hpi-tagG,14,1,Time0,0.550704007
20250825,72,wfgD,FRK1,72hpi-wfgD,29,1,Time0,7.189405702
20250825,72,wfgD,WRKY29,72hpi-wfgD,29,1,Time0,3.250519707
20250829,0,Mock,PDF1.2,0hpi-Mock,16,1,Mock,1
20250829,0,Mock,PR1,0hpi-Mock,16,1,Mock,1
20250829,0,OBC,PDF1.2,0hpi-OBC,31,1,Mock,6.120781466
20250829,0,OBC,PR1,0hpi-OBC,31,1,Mock,9.77E-04
20250829,0,WT,PDF1.2,0hpi-WT,1,1,Mock,0.268870157
20250829,0,WT,PR1,0hpi-WT,1,1,Mock,0.007020717
20250829,0,rmlC,PDF1.2,0hpi-rmlC,17,1,Mock,1.636960778
20250829,0,rmlC,PR1,0hpi-rmlC,17,1,Mock,0.341965375
20250829,0,tagG,PDF1.2,0hpi-tagG,32,1,Mock,0.096242839
20250829,0,tagG,PR1,0hpi-tagG,32,1,Mock,8.32E-04
20250829,0,wfgD,PDF1.2,0hpi-wfgD,18,1,Mock,0.155672078
20250829,0,wfgD,PR1,0hpi-wfgD,18,1,Mock,3.205421195
20250829,2,Mock,PDF1.2,2hpi-Mock,19,1,Mock,1
20250829,2,Mock,PR1,2hpi-Mock,19,1,Mock,1
