DATE,METHOD,OD,STRAIN,GENOTYPE,TIME,ABS,LUX
20250530,Overnight,0.01,epsE,Single,2.00,0.0084,19
20250530,Overnight,0.01,epsE,Single,2.25,0.012025,17.5
20250530,Overnight,0.01,epsE,Single,2.50,0.01675,29
20250530,Overnight,0.01,epsE,Single,2.75,0.022375,28.5
20250530,Overnight,0.01,epsE,Single,3.00,0.027925,30.75
20250530,Overnight,0.01,epsE,Single,3.25,0.033725,42.25
20250530,Overnight,0.01,epsE,Single,3.50,0.040625,44.25
20250530,Overnight,0.01,epsE,Single,3.75,0.048675,61.5
20250530,Overnight,0.01,epsE,Single,4.00,0.0564,62.75
20250530,Overnight,0.01,epsE,Single,4.25,0.06425,82
20250530,Overnight,0.01,epsE,Single,4.50,0.072675,84
20250530,Overnight,0.01,epsE,Single,4.75,0.080825,111
20250530,Overnight,0.01,epsE,Single,5.00,0.08905,122.25
20250530,Overnight,0.01,epsE,Single,5.25,0.0965,130
20250530,Overnight,0.01,epsE,Single,5.50,0.1055,166.75
20250530,Overnight,0.01,epsE,Single,5.75,0.11365,175.75
20250530,Overnight,0.01,epsE,Single,6.00,0.123525,192.5
20250530,Overnight,0.01,epsE,Single,6.25,0.13305,195.75
20250530,Overnight,0.01,epsE,Single,6.50,0.143375,205.25
20250530,Overnight,0.01,epsE,Single,6.75,0.154,231.25
20250530,Overnight,0.01,epsE,Single,7.00,0.164275,246.5
20250530,Overnight,0.01,epsE,Single,7.25,0.17375,244.5
20250530,Overnight,0.01,epsE,Single,7.50,0.185575,287.25
20250530,Overnight,0.01,epsE,Single,7.75,0.195825,295
20250530,Overnight,0.01,epsE,Single,8.00,0.205875,317.5
20250530,Overnight,0.01,epsE,Single,8.25,0.21755,344.25
20250530,Overnight,0.01,epsE,Single,8.50,0.22845,363.75
20250530,Overnight,0.01,epsE,Single,8.75,0.239725,403.5
20250530,Overnight,0.01,epsE,Single,9.00,0.251025,430
20250530,Overnight,0.01,epsE,Single,9.25,0.261775,450
20250530,Overnight,0.01,epsE,Single,9.50,0.27135,486.75
20250530,Overnight,0.01,epsE,Single,9.75,0.27755,501.25
20250530,Overnight,0.01,epsE,Single,10.00,0.28455,514.5
20250530,Overnight,0.01,epsE,Single,10.25,0.2891,521
20250530,Overnight,0.01,epsE,Single,10.50,0.293875,529.5
20250530,Overnight,0.01,epsE,Single,10.75,0.29685,532.5
20250530,Overnight,0.01,epsE,Single,11.00,0.299375,545.75
20250530,Overnight,0.01,epsE,Single,11.25,0.301925,573.25
20250530,Overnight,0.01,epsE,Single,11.50,0.304075,593.75
20250530,Overnight,0.01,epsE,Single,11.75,0.3082,550.5
