File_Name,Well,Phenotype
Col0-Eyach_R3_P2,A1,B
Col0-Eyach_R3_P2,A2,D
Col0-Eyach_R3_P2,A3,B
Col0-Eyach_R3_P2,A4,B
Col0-Eyach_R3_P2,A5,B
Col0-Eyach_R3_P2,A6,B
Col0-Eyach_R3_P2,B1,B
Col0-Eyach_R3_P2,B2,D
Col0-Eyach_R3_P2,B3,S
Col0-Eyach_R3_P2,B4,S
Col0-Eyach_R3_P2,B5,B
Col0-Eyach_R3_P2,B6,S
Col0-Eyach_R3_P2,C1,B
Col0-Eyach_R3_P2,C2,S
Col0-Eyach_R3_P2,C3,B
Col0-Eyach_R3_P2,C4,B
Col0-Eyach_R3_P2,C5,X
Col0-Eyach_R3_P2,C6,B
Col0-Eyach_R3_P2,D1,B
Col0-Eyach_R3_P2,D2,B
Col0-Eyach_R3_P2,D3,B
Col0-Eyach_R3_P2,D4,B
Col0-Eyach_R3_P2,D5,B
Col0-Eyach_R3_P2,D6,S
Eyach_R1_P1,A1,B
Eyach_R1_P1,A2,D
Eyach_R1_P1,A3,D
Eyach_R1_P1,A4,D
Eyach_R1_P1,A5,X
Eyach_R1_P1,A6,D
Eyach_R1_P1,B1,B
Eyach_R1_P1,B2,B
Eyach_R1_P1,B3,X
Eyach_R1_P1,B4,B
Eyach_R1_P1,B5,D
Eyach_R1_P1,B6,X
Eyach_R1_P1,C1,B
Eyach_R1_P1,C2,B
Eyach_R1_P1,C3,D
Eyach_R1_P1,C4,D
Eyach_R1_P1,C5,B
Eyach_R1_P1,C6,B
Eyach_R1_P1,D1,X
Eyach_R1_P1,D2,X
Eyach_R1_P1,D3,B
Eyach_R1_P1,D4,X
Eyach_R1_P1,D5,X
Eyach_R1_P1,D6,B
Eyach_R1_P2,A1,D
Eyach_R1_P2,A2,B
Eyach_R1_P2,A3,X
Eyach_R1_P2,A4,B
Eyach_R1_P2,A5,X
Eyach_R1_P2,A6,B
Eyach_R1_P2,B1,B
Eyach_R1_P2,B2,X
Eyach_R1_P2,B3,D
Eyach_R1_P2,B4,X
Eyach_R1_P2,B5,B
Eyach_R1_P2,B6,B
Eyach_R1_P2,C1,B
Eyach_R1_P2,C2,B
Eyach_R1_P2,C3,X
Eyach_R1_P2,C4,D
Eyach_R1_P2,C5,B
Eyach_R1_P2,C6,B
Eyach_R1_P2,D1,X
Eyach_R1_P2,D2,X
Eyach_R1_P2,D3,B
Eyach_R1_P2,D4,X
Eyach_R1_P2,D5,X
Eyach_R1_P2,D6,B
Eyach_R1_P3,A1,B
Eyach_R1_P3,A2,B
Eyach_R1_P3,A3,B
Eyach_R1_P3,A4,D
Eyach_R1_P3,A5,D
Eyach_R1_P3,A6,B
Eyach_R1_P3,B1,B
Eyach_R1_P3,B2,B
Eyach_R1_P3,B3,B
Eyach_R1_P3,B4,B
Eyach_R1_P3,B5,B
Eyach_R1_P3,B6,B
Eyach_R1_P3,C1,B
Eyach_R1_P3,C2,B
Eyach_R1_P3,C3,B
Eyach_R1_P3,C4,B
Eyach_R1_P3,C5,X
Eyach_R1_P3,C6,B
Eyach_R1_P3,D1,B
Eyach_R1_P3,D2,B
Eyach_R1_P3,D3,B
Eyach_R1_P3,D4,B
Eyach_R1_P3,D5,B
Eyach_R1_P3,D6,X
Eyach_R1_P4,A1,B
Eyach_R1_P4,A2,B
Eyach_R1_P4,A3,B
Eyach_R1_P4,A4,B
Eyach_R1_P4,A5,B
Eyach_R1_P4,A6,B
Eyach_R1_P4,B1,B
Eyach_R1_P4,B2,B
Eyach_R1_P4,B3,B
Eyach_R1_P4,B4,B
Eyach_R1_P4,B5,B
Eyach_R1_P4,B6,B
Eyach_R1_P4,C1,B
Eyach_R1_P4,C2,B
Eyach_R1_P4,C3,B
Eyach_R1_P4,C4,B
Eyach_R1_P4,C5,B
Eyach_R1_P4,C6,B
Eyach_R1_P4,D1,B
Eyach_R1_P4,D2,B
Eyach_R1_P4,D3,B
Eyach_R1_P4,D4,B
Eyach_R1_P4,D5,B
Eyach_R1_P4,D6,B
Eyach_R2_P1,A1,X
Eyach_R2_P1,A2,X
Eyach_R2_P1,A3,B
Eyach_R2_P1,A4,B
Eyach_R2_P1,A5,B
Eyach_R2_P1,A6,B
Eyach_R2_P1,B1,B
Eyach_R2_P1,B2,X
Eyach_R2_P1,B3,B
Eyach_R2_P1,B4,S
Eyach_R2_P1,B5,X
Eyach_R2_P1,B6,B
Eyach_R2_P1,C1,S
Eyach_R2_P1,C2,X
Eyach_R2_P1,C3,X
Eyach_R2_P1,C4,B
Eyach_R2_P1,C5,D
Eyach_R2_P1,C6,D
Eyach_R2_P1,D1,S
Eyach_R2_P1,D2,B
Eyach_R2_P1,D3,D
Eyach_R2_P1,D4,B
Eyach_R2_P1,D5,X
Eyach_R2_P1,D6,B
Eyach_R4_P1,A1,X
Eyach_R4_P1,A2,X
Eyach_R4_P1,A3,B
Eyach_R4_P1,A4,B
Eyach_R4_P1,A5,B
Eyach_R4_P1,A6,X
Eyach_R4_P1,B1,D
Eyach_R4_P1,B2,X
Eyach_R4_P1,B3,B
Eyach_R4_P1,B4,B
Eyach_R4_P1,B5,S
Eyach_R4_P1,B6,X
Eyach_R4_P1,C1,X
Eyach_R4_P1,C2,S
Eyach_R4_P1,C3,B
Eyach_R4_P1,C4,D
Eyach_R4_P1,C5,D
Eyach_R4_P1,C6,B
Eyach_R4_P1,D1,D
Eyach_R4_P1,D2,D
Eyach_R4_P1,D3,D
Eyach_R4_P1,D4,D
Eyach_R4_P1,D5,B
Eyach_R4_P1,D6,X
Eyach_R4_P2,A1,B
Eyach_R4_P2,A2,S
Eyach_R4_P2,A3,X
Eyach_R4_P2,A4,D
Eyach_R4_P2,A5,X
Eyach_R4_P2,A6,B
Eyach_R4_P2,B1,S
Eyach_R4_P2,B2,D
Eyach_R4_P2,B3,B
Eyach_R4_P2,B4,X
Eyach_R4_P2,B5,B
Eyach_R4_P2,B6,S
Eyach_R4_P2,C1,D
Eyach_R4_P2,C2,B
Eyach_R4_P2,C3,B
Eyach_R4_P2,C4,B
Eyach_R4_P2,C5,S
Eyach_R4_P2,C6,D
Eyach_R4_P2,D1,X
Eyach_R4_P2,D2,S
Eyach_R4_P2,D3,B
Eyach_R4_P2,D4,X
Eyach_R4_P2,D5,X
Eyach_R4_P2,D6,B
Eyach_R4_P3,A1,X
Eyach_R4_P3,A2,X
Eyach_R4_P3,A3,S
Eyach_R4_P3,A4,X
Eyach_R4_P3,A5,D
Eyach_R4_P3,A6,B
Eyach_R4_P3,B1,X
Eyach_R4_P3,B2,D
Eyach_R4_P3,B3,D
Eyach_R4_P3,B4,B
Eyach_R4_P3,B5,D
Eyach_R4_P3,B6,B
Eyach_R4_P3,C1,X
Eyach_R4_P3,C2,B
Eyach_R4_P3,C3,D
Eyach_R4_P3,C4,B
Eyach_R4_P3,C5,B
Eyach_R4_P3,C6,S
Eyach_R4_P3,D1,B
Eyach_R4_P3,D2,B
Eyach_R4_P3,D3,X
Eyach_R4_P3,D4,D
Eyach_R4_P3,D5,X
Eyach_R4_P3,D6,NOTHING
Eyach_R4_P4,A1,B
Eyach_R4_P4,A2,B
Eyach_R4_P4,A3,B
Eyach_R4_P4,A4,X
Eyach_R4_P4,A5,B
Eyach_R4_P4,A6,B
Eyach_R4_P4,B1,S
Eyach_R4_P4,B2,X
Eyach_R4_P4,B3,B
Eyach_R4_P4,B4,X
Eyach_R4_P4,B5,X
Eyach_R4_P4,B6,X
Eyach_R4_P4,C1,B
Eyach_R4_P4,C2,X
Eyach_R4_P4,C3,B
Eyach_R4_P4,C4,D
Eyach_R4_P4,C5,S
Eyach_R4_P4,C6,B
Eyach_R4_P4,D1,B
Eyach_R4_P4,D2,D
Eyach_R4_P4,D3,D
Eyach_R4_P4,D4,B
Eyach_R4_P4,D5,B
Eyach_R4_P4,D6,B
Col0_R5_P1,A1,D
Col0_R5_P1,A2,D
Col0_R5_P1,A3,D
Col0_R5_P1,A4,B
Col0_R5_P1,A5,D
Col0_R5_P1,A6,D
Col0_R5_P1,B1,B
Col0_R5_P1,B2,S
Col0_R5_P1,B3,S
Col0_R5_P1,B4,B
Col0_R5_P1,B5,D
Col0_R5_P1,B6,D
Col0_R5_P1,C1,B
Col0_R5_P1,C2,B
Col0_R5_P1,C3,S
Col0_R5_P1,C4,S
Col0_R5_P1,C5,D
Col0_R5_P1,C6,B
Col0_R5_P1,D1,B
Col0_R5_P1,D2,B
Col0_R5_P1,D3,B
Col0_R5_P1,D4,B
