file_name,Well,strain
Eyach_R4_P2,B2,wfgD
Eyach_R4_P2,B3,spsA
Eyach_R4_P2,B4,tagG
Eyach_R4_P2,B5,WT
Eyach_R4_P2,B6,tagH
Eyach_R4_P2,C1,tagH
Eyach_R4_P2,C2,buffer
Eyach_R4_P2,C3,RmlC-FS
Eyach_R4_P2,C4,tagG
Eyach_R4_P2,C6,epsE
Eyach_R4_P2,D1,WT
Eyach_R4_P2,D2,WT
Eyach_R4_P2,D3,tagG
Eyach_R4_P2,D4,rmlC
Eyach_R4_P2,D5,WT
Eyach_R4_P2,D6,tagG
Eyach_R4_P3,A1,epsE
Eyach_R4_P3,A2,spsA
Eyach_R4_P3,A4,epsE
Eyach_R4_P3,A6,rmlC
Eyach_R4_P3,B1,spsA
Eyach_R4_P3,B2,buffer
Eyach_R4_P3,B3,wfgD
Eyach_R4_P3,B4,tagG
Eyach_R4_P3,B5,buffer
Eyach_R4_P3,B6,epsE
Eyach_R4_P3,C1,wfgD
Eyach_R4_P3,C2,tagH
Eyach_R4_P3,C3,wfgD
Eyach_R4_P3,C4,tagH
Eyach_R4_P3,C5,RmlC-FS
Eyach_R4_P3,C6,wfgD
Eyach_R4_P3,D1,WT
Eyach_R4_P3,D2,RmlC-FS
Eyach_R4_P3,D3,rmlC
Eyach_R4_P3,D4,rmlC
Eyach_R4_P3,D5,tagG
Eyach_R4_P3,D6,RmlC-FS
Eyach_R4_P4,A1,epsE
Eyach_R4_P4,A3,epsE
Eyach_R4_P4,A4,rmlC
Eyach_R4_P4,A5,buffer
Eyach_R4_P4,A6,tagG
Eyach_R4_P4,B2,tagH
Eyach_R4_P4,B3,buffer
Eyach_R4_P4,B4,RmlC-FS
Eyach_R4_P4,B5,OBC
Eyach_R4_P4,B6,epsE
Eyach_R4_P4,C1,spsA
Eyach_R4_P4,C2,RmlC-FS
Eyach_R4_P4,C3,tagG
Eyach_R4_P4,C4,epsE
Eyach_R4_P4,C6,WT
Eyach_R4_P4,D1,buffer
Eyach_R4_P4,D2,OBC
Eyach_R4_P4,D4,WT
Eyach_R4_P4,D5,spsA
Eyach_R4_P4,D6,RmlC-FS
Eyach_R2_P3,A1,RmlC-FS
Eyach_R2_P3,A2,rmlC
Eyach_R2_P3,A3,RmlC-FS
Eyach_R2_P3,A4,WT
Eyach_R2_P3,A5,wfgD
Eyach_R2_P3,A6,wfgD
Eyach_R2_P3,B1,OBC
Eyach_R2_P3,B2,OBC
Eyach_R2_P3,B3,rmlC
Eyach_R2_P3,B4,epsE
Eyach_R2_P3,B5,rmlC
Eyach_R2_P3,B6,tagG
Eyach_R2_P3,C1,rmlC
Eyach_R2_P3,C2,WT
Eyach_R2_P3,C3,RmlC-FS
Eyach_R2_P3,C4,RmlC-FS
Eyach_R2_P3,C5,wfgD
Eyach_R2_P3,C6,WT
Eyach_R2_P3,D1,epsE
Eyach_R2_P3,D2,tagG
Eyach_R2_P3,D3,wfgD
Eyach_R2_P3,D4,epsE
Eyach_R2_P3,D5,wfgD
Eyach_R2_P3,D6,wfgD
Col0_R1_P5,A4,WT
Col0_R1_P5,A6,WT
Col0_R1_P5,B1,OBC
Col0_R1_P5,B5,RmlC-FS
Col0_R1_P5,B6,buffer
Col0_R1_P5,C1,RmlC-FS
Col0_R1_P5,C2,tagG
Col0_R1_P5,C3,epsE
Col0_R1_P5,C4,epsE
Col0_R1_P5,C5,rmlC
Col0_R1_P5,D2,buffer
Col0_R1_P5,D5,wfgD
Col0_R1_P4,A2,WT
Col0_R1_P4,A3,rmlC
Col0_R1_P4,B3,wfgD
Col0_R1_P4,B6,wfgD
Col0_R1_P4,C3,RmlC-FS
Col0_R1_P4,C4,tagG
Col0_R1_P4,C5,buffer
Col0_R1_P4,C6,epsE
Col0_R1_P4,D2,buffer
Col0_R1_P4,D3,rmlC
Col0_R1_P4,D4,OBC
Col0_R1_P4,D5,OBC
Col0_R1_P4,D6,rmlC
Eyach_R2_P2,A1,tagG
Eyach_R2_P2,A2,WT
Eyach_R2_P2,A3,tagG
Eyach_R2_P2,A4,WT
