Well,Sample,Target,Name,Replicate,Cq,Eff,ok_amp,note
L05,06,WRKY29,10hpi-Mock,2,27.62,1.2145315710621167,FALSE,poor fit/efficiency
L11,06,WRKY29,10hpi-Mock,3,27.54,2.0859553675755573,TRUE,ok
M01,07,FRK1,10hpi-WT,1,25.45,1.945339671897343,TRUE,ok
M05,07,FRK1,10hpi-WT,2,25.93,2.018106884998146,TRUE,ok
M11,07,FRK1,10hpi-WT,3,24.84,2.0818357060146493,TRUE,ok
M16,07,PP2A,10hpi-WT,1,24.89,2.112696924587998,TRUE,ok
N16,07,PP2A,10hpi-WT,2,26.06,1.9652078228595955,TRUE,ok
M21,07,PP2A,10hpi-WT,3,25.46,1.954391956118988,TRUE,ok
N01,07,WRKY29,10hpi-WT,1,26.5,2.0441209540021,TRUE,ok
N05,07,WRKY29,10hpi-WT,2,26.79,2.093764589328234,TRUE,ok
N11,07,WRKY29,10hpi-WT,3,26.32,1.9791024606999377,TRUE,ok
O01,08,FRK1,10hpi-rmlC,1,26.36,1.9409965530861342,TRUE,ok
O05,08,FRK1,10hpi-rmlC,2,27.07,1.9354997231568358,TRUE,ok
O11,08,FRK1,10hpi-rmlC,3,25.82,2.0314838252753273,TRUE,ok
O16,08,PP2A,10hpi-rmlC,1,25.49,1.919530215948084,TRUE,ok
P16,08,PP2A,10hpi-rmlC,2,25.95,1.9931938307361636,TRUE,ok
O21,08,PP2A,10hpi-rmlC,3,25.58,2.069963561028769,TRUE,ok
P01,08,WRKY29,10hpi-rmlC,1,27.44,1.9322039442177463,TRUE,ok
P05,08,WRKY29,10hpi-rmlC,2,27.29,1.9444979645734883,TRUE,ok
P11,08,WRKY29,10hpi-rmlC,3,27.16,1.9583263521130536,TRUE,ok
A02,09,FRK1,10hpi-wfgD,1,25.38,2.1888071746665583,TRUE,ok
A07,09,FRK1,10hpi-wfgD,2,25.58,2.098258121088462,TRUE,ok
A12,09,FRK1,10hpi-wfgD,3,26.36,1.9340054314591153,TRUE,ok
A17,09,PP2A,10hpi-wfgD,1,25.49,2.1108749541869622,TRUE,ok
B17,09,PP2A,10hpi-wfgD,2,26.04,1.9987456108489665,TRUE,ok
A22,09,PP2A,10hpi-wfgD,3,25.94,2.014103307900428,TRUE,ok
B02,09,WRKY29,10hpi-wfgD,1,26.31,1.9481607883731398,TRUE,ok
B07,09,WRKY29,10hpi-wfgD,2,26.85,2.066820270692007,TRUE,ok
B12,09,WRKY29,10hpi-wfgD,3,26.93,2.0134714607589568,TRUE,ok
C02,10,FRK1,24hpi-Mock,1,26.11,2.010905108743278,TRUE,ok
C07,10,FRK1,24hpi-Mock,2,26.21,2.012918827728852,TRUE,ok
C12,10,FRK1,24hpi-Mock,3,26.79,2.0771353460621538,TRUE,ok
C17,10,PP2A,24hpi-Mock,1,25.1,1.9531029158811777,TRUE,ok
D17,10,PP2A,24hpi-Mock,2,25.63,2.1348209010840553,TRUE,ok
C22,10,PP2A,24hpi-Mock,3,25.76,1.9487219730975032,TRUE,ok
D02,10,WRKY29,24hpi-Mock,1,28.12,1.9682512048649383,TRUE,ok
D07,10,WRKY29,24hpi-Mock,2,27.77,2.0736894511345474,TRUE,ok
D12,10,WRKY29,24hpi-Mock,3,28.17,1.9712686585270425,TRUE,ok
E02,11,FRK1,24hpi-wfgD,1,25.29,2.2013275802999908,TRUE,ok
E07,11,FRK1,24hpi-wfgD,2,25.54,2.211874510046715,TRUE,ok
E12,11,FRK1,24hpi-wfgD,3,25.88,2.011086432004449,TRUE,ok
E17,11,PP2A,24hpi-wfgD,1,24.76,2.0911319441768454,TRUE,ok
F17,11,PP2A,24hpi-wfgD,2,25.19,1.9661743835427505,TRUE,ok
E22,11,PP2A,24hpi-wfgD,3,25.33,1.9780560545831123,TRUE,ok
F02,11,WRKY29,24hpi-wfgD,1,26.88,2.0192439174356727,TRUE,ok
F07,11,WRKY29,24hpi-wfgD,2,27.05,1.9944224057654285,TRUE,ok
F12,11,WRKY29,24hpi-wfgD,3,27.33,1.950237332054388,TRUE,ok
G02,12,FRK1,72hpi-Mock,1,27.11,2.038156840614738,TRUE,ok
G07,12,FRK1,72hpi-Mock,2,27.51,1.9578410411226455,TRUE,ok
G12,12,FRK1,72hpi-Mock,3,27.4,1.9434308751354068,TRUE,ok
G17,12,PP2A,72hpi-Mock,1,25.91,2.0229942539853276,TRUE,ok
H17,12,PP2A,72hpi-Mock,2,26.12,1.9871568768912464,TRUE,ok
G22,12,PP2A,72hpi-Mock,3,25.97,2.004263590669846,TRUE,ok
H02,12,WRKY29,72hpi-Mock,1,26.82,1.9913419226649864,TRUE,ok
H07,12,WRKY29,72hpi-Mock,2,26.85,2.0475073885550765,TRUE,ok
H12,12,WRKY29,72hpi-Mock,3,27.08,2.014909949109255,TRUE,ok
I02,13,FRK1,72hpi-rmlC,1,26.62,2.226202292200542,TRUE,ok
I07,13,FRK1,72hpi-rmlC,2,26.52,2.1504010798894075,TRUE,ok
I12,13,FRK1,72hpi-rmlC,3,26.94,1.9933035807256165,TRUE,ok
I17,13,PP2A,72hpi-rmlC,1,25.39,2.0231146361558534,TRUE,ok
J17,13,PP2A,72hpi-rmlC,2,25.57,1.9592471685978248,TRUE,ok
I22,13,PP2A,72hpi-rmlC,3,25.7,1.9445650540218398,TRUE,ok
J02,13,WRKY29,72hpi-rmlC,1,26.39,1.9530978480410988,TRUE,ok
J07,13,WRKY29,72hpi-rmlC,2,26.84,2.030252139672057,TRUE,ok
J12,13,WRKY29,72hpi-rmlC,3,26.83,2.0067477819799064,TRUE,ok
K02,14,FRK1,72hpi-tagG,1,25.99,2.030967580109069,TRUE,ok
K07,14,FRK1,72hpi-tagG,2,26.24,2.0094119969561604,TRUE,ok
K12,14,FRK1,72hpi-tagG,3,26.67,1.9816417308339025,TRUE,ok
K17,14,PP2A,72hpi-tagG,1,25.69,1.9599703420594703,TRUE,ok
L17,14,PP2A,72hpi-tagG,2,26.12,1.9479908055755528,TRUE,ok
K22,14,PP2A,72hpi-tagG,3,26.09,1.9582494180760106,TRUE,ok
L02,14,WRKY29,72hpi-tagG,1,26.66,2.044527429769722,TRUE,ok
L07,14,WRKY29,72hpi-tagG,2,27.12,1.9295519082701589,TRUE,ok
L12,14,WRKY29,72hpi-tagG,3,27.33,1.9278744325533588,TRUE,ok
M02,16,FRK1,0hpi-Mock,1,26.56,2.146508786941473,TRUE,ok
M07,16,FRK1,0hpi-Mock,2,27.22,2.005939695144631,TRUE,ok
M12,16,FRK1,0hpi-Mock,3,26.9,1.9874383959781625,TRUE,ok
M17,16,PP2A,0hpi-Mock,1,25.2,2.1066524828271773,TRUE,ok
N17,16,PP2A,0hpi-Mock,2,26.03,2.024823679826163,TRUE,ok
M22,16,PP2A,0hpi-Mock,3,26.12,1.9580839196253388,TRUE,ok
N02,16,WRKY29,0hpi-Mock,1,26.58,2.0491590141425915,TRUE,ok
N07,16,WRKY29,0hpi-Mock,2,27.05,1.9556751910699821,TRUE,ok
N12,16,WRKY29,0hpi-Mock,3,27.12,1.9849879287412922,TRUE,ok
O02,17,FRK1,0hpi-rmlC,1,26.88,2.007554859802425,TRUE,ok
O07,17,FRK1,0hpi-rmlC,2,26.46,2.115750662606063,TRUE,ok
O12,17,FRK1,0hpi-rmlC,3,27.17,2.1784284101251847,TRUE,ok
O17,17,PP2A,0hpi-rmlC,1,25.06,1.9632104912260733,TRUE,ok
P17,17,PP2A,0hpi-rmlC,2,25.45,1.7953643329171753,TRUE,ok
O22,17,PP2A,0hpi-rmlC,3,25.58,1.930101179863488,TRUE,ok
P02,17,WRKY29,0hpi-rmlC,1,26.26,1.9839577752969526,TRUE,ok
P07,17,WRKY29,0hpi-rmlC,2,26.67,1.904461623722515,TRUE,ok
P12,17,WRKY29,0hpi-rmlC,3,26.74,2.0489296627311613,TRUE,ok
A03,18,FRK1,0hpi-wfgD,1,26.79,2.0495465330220974,TRUE,ok
A08,18,FRK1,0hpi-wfgD,2,26,2.1036664425310105,TRUE,ok
A13,18,FRK1,0hpi-wfgD,3,26.56,2.132895216695738,TRUE,ok
A18,18,PP2A,0hpi-wfgD,1,25.54,2.097180418826952,TRUE,ok
B18,18,PP2A,0hpi-wfgD,2,25.51,2.0980682230348378,TRUE,ok
A23,18,PP2A,0hpi-wfgD,3,25.86,2.010391926527028,TRUE,ok
B03,18,WRKY29,0hpi-wfgD,1,26.14,2.115114266505414,TRUE,ok
B08,18,WRKY29,0hpi-wfgD,2,25.83,2.10998658902006,TRUE,ok
B13,18,WRKY29,0hpi-wfgD,3,26.19,2.067118911070341,TRUE,ok
C03,19,FRK1,2hpi-Mock,1,25,2.0261071412777034,TRUE,ok
C08,19,FRK1,2hpi-Mock,2,24.69,2.1172089917175994,TRUE,ok
C13,19,FRK1,2hpi-Mock,3,24.94,2.0768694818674973,TRUE,ok
C18,19,PP2A,2hpi-Mock,1,25.42,1.9774117943875174,TRUE,ok
D18,19,PP2A,2hpi-Mock,2,25.43,2.093834646388089,TRUE,ok
C23,19,PP2A,2hpi-Mock,3,26.07,2.005276137010479,TRUE,ok
D03,19,WRKY29,2hpi-Mock,1,26.26,2.0574509912415246,TRUE,ok
D08,19,WRKY29,2hpi-Mock,2,26,2.0011672179744413,TRUE,ok
D13,19,WRKY29,2hpi-Mock,3,26.4,2.1007348236104866,TRUE,ok
E03,20,FRK1,2hpi-tagG,1,23.68,2.0806547285700767,TRUE,ok
E08,20,FRK1,2hpi-tagG,2,23.13,2.1192685036149412,TRUE,ok
E13,20,FRK1,2hpi-tagG,3,23.48,2.1891337860206574,TRUE,ok
E18,20,PP2A,2hpi-tagG,1,24.98,2.024946471666114,TRUE,ok
F18,20,PP2A,2hpi-tagG,2,25.32,1.9327749137844987,TRUE,ok
E23,20,PP2A,2hpi-tagG,3,25.75,1.9298814640827961,TRUE,ok
F03,20,WRKY29,2hpi-tagG,1,25.44,2.134713214947809,TRUE,ok
F08,20,WRKY29,2hpi-tagG,2,25.14,2.1904603277759938,TRUE,ok
F13,20,WRKY29,2hpi-tagG,3,25.48,2.074470619375422,TRUE,ok
G03,21,FRK1,2hpi-wfgD,1,24.52,2.1469082192692284,TRUE,ok
G08,21,FRK1,2hpi-wfgD,2,24.3,2.169019078127337,TRUE,ok
G13,21,FRK1,2hpi-wfgD,3,24.67,2.129509118263427,TRUE,ok
G18,21,PP2A,2hpi-wfgD,1,24.97,2.0529212973613213,TRUE,ok
H18,21,PP2A,2hpi-wfgD,2,25.22,2.017374001789516,TRUE,ok
G23,21,PP2A,2hpi-wfgD,3,25.69,2.053036230964611,TRUE,ok
H03,21,WRKY29,2hpi-wfgD,1,25.61,2.140738015861053,TRUE,ok
H08,21,WRKY29,2hpi-wfgD,2,25.58,2.281232817266934,TRUE,ok
H13,21,WRKY29,2hpi-wfgD,3,25.62,2.1331082602635894,TRUE,ok
I03,22,FRK1,10hpi-OBC,1,26.2,1.9832808517244729,TRUE,ok
I08,22,FRK1,10hpi-OBC,2,26.03,2.0018727494193294,TRUE,ok
I13,22,FRK1,10hpi-OBC,3,26.22,1.9724824317372907,TRUE,ok
I18,22,PP2A,10hpi-OBC,1,26.08,1.9459415418291397,TRUE,ok
J18,22,PP2A,10hpi-OBC,2,26.49,1.957127903173489,TRUE,ok
I23,22,PP2A,10hpi-OBC,3,26.83,1.9314945996710637,TRUE,ok
J03,22,WRKY29,10hpi-OBC,1,27.81,1.9594343515115233,TRUE,ok
J08,22,WRKY29,10hpi-OBC,2,27.21,1.9763508862345704,TRUE,ok
J13,22,WRKY29,10hpi-OBC,3,27.5,1.9757148324211917,TRUE,ok
K03,23,FRK1,24hpi-OBC,1,25.35,1.6377309598640484,FALSE,poor fit/efficiency
K08,23,FRK1,24hpi-OBC,2,24.88,2.012769897643787,TRUE,ok
K13,23,FRK1,24hpi-OBC,3,24.91,2.0626620007653256,TRUE,ok
K18,23,PP2A,24hpi-OBC,1,24.96,2.0130561920097256,TRUE,ok
L18,23,PP2A,24hpi-OBC,2,25.29,2.005767846030529,TRUE,ok
K23,23,PP2A,24hpi-OBC,3,25.76,2.0167686189762835,TRUE,ok
L03,23,WRKY29,24hpi-OBC,1,27.78,2.0613673981549345,TRUE,ok
L08,23,WRKY29,24hpi-OBC,2,27.45,2.097865271649681,TRUE,ok
L13,23,WRKY29,24hpi-OBC,3,27.79,2.0330316831405204,TRUE,ok
M03,24,FRK1,24hpi-rmlC,1,25,2.035510080834911,TRUE,ok
M08,24,FRK1,24hpi-rmlC,2,24.98,2.0627527307792626,TRUE,ok
M13,24,FRK1,24hpi-rmlC,3,25.05,2.0124606865776324,TRUE,ok
M18,24,PP2A,24hpi-rmlC,1,25.2,1.9894678171803013,TRUE,ok
N18,24,PP2A,24hpi-rmlC,2,25.5,1.9006209281248119,TRUE,ok
M23,24,PP2A,24hpi-rmlC,3,26.33,1.9320929183411415,TRUE,ok
N03,24,WRKY29,24hpi-rmlC,1,27.37,2.0246401398211082,TRUE,ok
N08,24,WRKY29,24hpi-rmlC,2,27.32,2.1090819700824857,TRUE,ok
N13,24,WRKY29,24hpi-rmlC,3,27.44,2.0987861689620315,TRUE,ok
O03,25,FRK1,48hpi-WT,1,24.1,2.1565719797867424,TRUE,ok
O08,25,FRK1,48hpi-WT,2,24.27,2.1693640029531505,TRUE,ok
O13,25,FRK1,48hpi-WT,3,24.16,2.2282946506571006,TRUE,ok
O18,25,PP2A,48hpi-WT,1,25.18,2.029225859928339,TRUE,ok
P18,25,PP2A,48hpi-WT,2,26,2.027595771880673,TRUE,ok
O23,25,PP2A,48hpi-WT,3,26.44,1.938522298118537,TRUE,ok
P03,25,WRKY29,48hpi-WT,1,26.4,1.9530302214740698,TRUE,ok
P08,25,WRKY29,48hpi-WT,2,26.11,1.9951989577563807,TRUE,ok
P13,25,WRKY29,48hpi-WT,3,26.29,1.9530518927736005,TRUE,ok
A04,26,FRK1,48hpi-OBC,1,26.56,2.223696463179602,TRUE,ok
A09,26,FRK1,48hpi-OBC,2,26.15,1.9944730560677302,TRUE,ok
A14,26,FRK1,48hpi-OBC,3,26.02,2.041138153563006,TRUE,ok
A19,26,PP2A,48hpi-OBC,1,25.57,2.0989681276999983,TRUE,ok
B19,26,PP2A,48hpi-OBC,2,25.45,1.8621316630133282,TRUE,ok
A24,26,PP2A,48hpi-OBC,3,25.65,1.9279625323108862,TRUE,ok
B04,26,WRKY29,48hpi-OBC,1,26.94,2.0389703144151756,TRUE,ok
B09,26,WRKY29,48hpi-OBC,2,26.55,2.0257739816003784,TRUE,ok
B14,26,WRKY29,48hpi-OBC,3,27.02,2.019317172144899,TRUE,ok
C04,27,FRK1,48hpi-tagG,1,26.8,2.0887922345546417,TRUE,ok
C09,27,FRK1,48hpi-tagG,2,26.04,1.9750337195747103,TRUE,ok
C14,27,FRK1,48hpi-tagG,3,25.81,2.076656215803347,TRUE,ok
C19,27,PP2A,48hpi-tagG,1,25.46,1.9941366942632823,TRUE,ok
D19,27,PP2A,48hpi-tagG,2,25.64,1.740301544549421,TRUE,ok
C24,27,PP2A,48hpi-tagG,3,25.74,1.9571326708115464,TRUE,ok
D04,27,WRKY29,48hpi-tagG,1,26.57,2.0060238193764275,TRUE,ok
D09,27,WRKY29,48hpi-tagG,2,25.97,2.007916996953316,TRUE,ok
D14,27,WRKY29,48hpi-tagG,3,26.37,1.8765405677626852,TRUE,ok
E04,28,FRK1,72hpi-WT,1,27.63,1.9679539104485226,TRUE,ok
E09,28,FRK1,72hpi-WT,2,27.14,1.9887680521717364,TRUE,ok
E14,28,FRK1,72hpi-WT,3,27.64,1.9737839172282905,TRUE,ok
E19,28,PP2A,72hpi-WT,1,26.79,1.9432504145105656,TRUE,ok
F19,28,PP2A,72hpi-WT,2,27.2,1.971812994363586,TRUE,ok
E24,28,PP2A,72hpi-WT,3,27.12,1.9903035476563717,TRUE,ok
F04,28,WRKY29,72hpi-WT,1,26.23,1.9225949910067386,TRUE,ok
F09,28,WRKY29,72hpi-WT,2,26.26,1.9977369858232763,TRUE,ok
F14,28,WRKY29,72hpi-WT,3,26.34,1.962502296963262,TRUE,ok
G04,29,FRK1,72hpi-wfgD,1,26.63,1.9502765442819212,TRUE,ok
G09,29,FRK1,72hpi-wfgD,2,26.93,1.9352775102000597,TRUE,ok
G14,29,FRK1,72hpi-wfgD,3,26.65,1.7796179861183374,TRUE,ok
G19,29,PP2A,72hpi-wfgD,1,27.48,1.8920154328578902,TRUE,ok
H19,29,PP2A,72hpi-wfgD,2,27.18,1.9428069639167336,TRUE,ok
G24,29,PP2A,72hpi-wfgD,3,27.4,1.9384179942925057,TRUE,ok
H04,29,WRKY29,72hpi-wfgD,1,26.7,1.9327343756183872,TRUE,ok
H09,29,WRKY29,72hpi-wfgD,2,26.6,1.8818555369091348,TRUE,ok
H14,29,WRKY29,72hpi-wfgD,3,26.45,1.9578513555998636,TRUE,ok
I04,31,FRK1,0hpi-OBC,1,28.06,2.037288376299299,TRUE,ok
I09,31,FRK1,0hpi-OBC,2,27.85,2.0701187044921507,TRUE,ok
I14,31,FRK1,0hpi-OBC,3,27.83,2.0110710258749744,TRUE,ok
I19,31,PP2A,0hpi-OBC,1,26.05,2.011480359966839,TRUE,ok
J19,31,PP2A,0hpi-OBC,2,26.14,2.010461875575677,TRUE,ok
I24,31,PP2A,0hpi-OBC,3,26.24,1.9258283565655132,TRUE,ok
J04,31,WRKY29,0hpi-OBC,1,26.81,2.047330882250164,TRUE,ok
J09,31,WRKY29,0hpi-OBC,2,26.46,1.8997326827075054,TRUE,ok
J14,31,WRKY29,0hpi-OBC,3,26.61,2.1071373731355165,TRUE,ok
K04,32,FRK1,0hpi-tagG,1,27.74,2.0900777608063965,TRUE,ok
K09,32,FRK1,0hpi-tagG,2,27.38,2.1742252375855142,TRUE,ok
K14,32,FRK1,0hpi-tagG,3,27.58,2.110156320851597,TRUE,ok
K19,32,PP2A,0hpi-tagG,1,25.38,2.1123480121557163,TRUE,ok
L19,32,PP2A,0hpi-tagG,2,25.57,2.194940771993042,TRUE,ok
K24,32,PP2A,0hpi-tagG,3,25.77,2.025337408462047,TRUE,ok
L04,32,WRKY29,0hpi-tagG,1,26.92,2.0501854805221296,TRUE,ok
L09,32,WRKY29,0hpi-tagG,2,26.87,2.0163997469010013,TRUE,ok
L14,32,WRKY29,0hpi-tagG,3,26.63,2.111329856999661,TRUE,ok
M04,33,FRK1,2hpi-OBC,1,24.34,1.9628158841741252,TRUE,ok
M09,33,FRK1,2hpi-OBC,2,24.14,2.012317645822043,TRUE,ok
M14,33,FRK1,2hpi-OBC,3,23.79,2.1487563012889757,TRUE,ok
M19,33,PP2A,2hpi-OBC,1,25.27,2.1185353092089723,TRUE,ok
N19,33,PP2A,2hpi-OBC,2,25.86,1.9921960303065378,TRUE,ok
M24,33,PP2A,2hpi-OBC,3,26.05,1.9765930070117663,TRUE,ok
N04,33,WRKY29,2hpi-OBC,1,25.77,1.9538176207628888,TRUE,ok
N09,33,WRKY29,2hpi-OBC,2,25.72,2.1530427350382118,TRUE,ok
N14,33,WRKY29,2hpi-OBC,3,25.21,2.0423220640449857,TRUE,ok
O04,34,FRK1,2hpi-rmlC,1,24.8,1.9565665213286076,TRUE,ok
O09,34,FRK1,2hpi-rmlC,2,24.44,2.055209167693905,TRUE,ok
O14,34,FRK1,2hpi-rmlC,3,24.2,1.9486399968125185,TRUE,ok
O19,34,PP2A,2hpi-rmlC,1,25.54,2.186528761319249,TRUE,ok
P19,34,PP2A,2hpi-rmlC,2,25.87,2.067381411517259,TRUE,ok
O24,34,PP2A,2hpi-rmlC,3,26.32,1.9618738672081488,TRUE,ok
P04,34,WRKY29,2hpi-rmlC,1,26.31,1.925869396208955,TRUE,ok
P09,34,WRKY29,2hpi-rmlC,2,25.86,1.9849127068540418,TRUE,ok
P14,34,WRKY29,2hpi-rmlC,3,25.75,2.059681217877083,TRUE,ok
A06,35,FRK1,6hpi-tagG,1,24.58,2.1988023039083484,TRUE,ok
A10,35,FRK1,6hpi-tagG,2,24.29,2.049182296608254,TRUE,ok
A15,35,FRK1,6hpi-tagG,3,24.23,2.2335369380251255,TRUE,ok
A20,35,PP2A,6hpi-tagG,1,26.41,1.9377008612226965,TRUE,ok
B20,35,PP2A,6hpi-tagG,2,25.86,2.057803526165652,TRUE,ok
B21,35,PP2A,6hpi-tagG,3,27.13,1.9793180980394849,TRUE,ok
B06,35,WRKY29,6hpi-tagG,1,25.21,2.12407436855702,TRUE,ok
B10,35,WRKY29,6hpi-tagG,2,26.51,1.999776111824816,TRUE,ok
B15,35,WRKY29,6hpi-tagG,3,26.27,1.8770315981793662,TRUE,ok
C06,36,FRK1,6hpi-wfgD,1,23.36,2.145981793544297,TRUE,ok
C10,36,FRK1,6hpi-wfgD,2,22.52,2.281741292798081,TRUE,ok
C15,36,FRK1,6hpi-wfgD,3,23.17,2.000822727393369,TRUE,ok
C20,36,PP2A,6hpi-wfgD,1,25.73,2.0768813755905287,TRUE,ok
D20,36,PP2A,6hpi-wfgD,2,25.67,2.081832502006211,TRUE,ok
D21,36,PP2A,6hpi-wfgD,3,26.67,1.944440759908424,TRUE,ok
D06,36,WRKY29,6hpi-wfgD,1,24.41,2.183336208180988,TRUE,ok
D10,36,WRKY29,6hpi-wfgD,2,25.04,2.0357223084855747,TRUE,ok
D15,36,WRKY29,6hpi-wfgD,3,25.87,2.0261339706546013,TRUE,ok
E06,37,FRK1,6hpi-rmlC,1,25.35,1.966550245360922,TRUE,ok
E10,37,FRK1,6hpi-rmlC,2,24.85,2.104869361965837,TRUE,ok
E15,37,FRK1,6hpi-rmlC,3,25.12,2.0344244112864924,TRUE,ok
E20,37,PP2A,6hpi-rmlC,1,25.93,2.0409588942248167,TRUE,ok
F20,37,PP2A,6hpi-rmlC,2,25.89,2.0331215550210957,TRUE,ok
F21,37,PP2A,6hpi-rmlC,3,26.62,1.9802187960367652,TRUE,ok
F06,37,WRKY29,6hpi-rmlC,1,26.17,1.9871260337190357,TRUE,ok
F10,37,WRKY29,6hpi-rmlC,2,26.67,1.9181103855140615,TRUE,ok
F15,37,WRKY29,6hpi-rmlC,3,26.27,1.9699866152920753,TRUE,ok
G06,38,FRK1,10hpi-tagG,1,24.72,2.073928376776006,TRUE,ok
G10,38,FRK1,10hpi-tagG,2,24.61,2.151236886908128,TRUE,ok
G15,38,FRK1,10hpi-tagG,3,24.48,2.15417679937588,TRUE,ok
G20,38,PP2A,10hpi-tagG,1,25.7,2.0472236997222013,TRUE,ok
H20,38,PP2A,10hpi-tagG,2,25.85,2.031255761117337,TRUE,ok
H21,38,PP2A,10hpi-tagG,3,26.09,1.9587856754432678,TRUE,ok
H06,38,WRKY29,10hpi-tagG,1,26.24,1.9528375663297093,TRUE,ok
H10,38,WRKY29,10hpi-tagG,2,26.42,1.9284518256324397,TRUE,ok
H15,38,WRKY29,10hpi-tagG,3,26.7,2.0814292085529464,TRUE,ok
I06,39,FRK1,24hpi-WT,1,26.23,2.0008259098112635,TRUE,ok
I10,39,FRK1,24hpi-WT,2,25.71,2.060282383123339,TRUE,ok
I15,39,FRK1,24hpi-WT,3,26.1,2.0114707850441564,TRUE,ok
I20,39,PP2A,24hpi-WT,1,25.57,1.9545378854691267,TRUE,ok
J20,39,PP2A,24hpi-WT,2,25.46,1.9999832266877589,TRUE,ok
J21,39,PP2A,24hpi-WT,3,26.04,1.9774331667957197,TRUE,ok
