Well,Sample,Name,Replicate,Target,HPI,Treatment,Cq,Eff,NE_ref_mean,NE_target,NE_baseline,NE_fc
N02,16,0hpi-Mock,1,WRKY29,0,Mock,26.58,2.0491590141425915,1.588743027143832e-8,0.3290525627435429,0.5249638019540435,0.6268100038873707
N03,24,24hpi-rmlC,1,WRKY29,24,rmlC,27.37,2.0246401398211082,4.7862691448454064e-8,0.08615141735860458,0.18969744345147538,0.45415170489971374
N04,33,2hpi-OBC,1,WRKY29,02,OBC,25.77,1.9538176207628888,1.8850118712293753e-8,1.6927961505284783,0.46203813431030166,3.663758518667223
N05,07,10hpi-WT,2,WRKY29,10,WT,26.79,2.093764589328234,1.934075039425641e-8,0.13057786506461583,0.49095025781549406,0.2659696435350255
N06,41,48hpi-Mock,1,WRKY29,48,Mock,27.09,1.9357385855020894,2.9694786538589063e-8,0.5710084022056494,0.32735222594664687,1.7443241772814906
N07,16,0hpi-Mock,2,WRKY29,0,Mock,27.05,1.9556751910699821,1.588743027143832e-8,0.8305578562018848,0.5249638019540435,1.582124049525597
N08,24,24hpi-rmlC,2,WRKY29,24,rmlC,27.32,2.1090819700824857,4.7862691448454064e-8,0.029226013615427093,0.18969744345147538,0.15406646016767805
N09,33,2hpi-OBC,2,WRKY29,02,OBC,25.72,2.1530427350382118,1.8850118712293753e-8,0.1440694009661614,0.46203813431030166,0.3118127926414952
N10,41,48hpi-Mock,2,WRKY29,48,Mock,27.22,1.9806880351087994,2.9694786538589063e-8,0.280534414646131,0.32735222594664687,0.8569803178667054
N11,07,10hpi-WT,3,WRKY29,10,WT,26.32,1.9791024606999377,1.934075039425641e-8,0.8137323513977497,0.49095025781549406,1.6574639455705544
N12,16,0hpi-Mock,3,WRKY29,0,Mock,27.12,1.9849879287412922,1.588743027143832e-8,0.5293621761255968,0.5249638019540435,1.0083784332466
N13,24,24hpi-rmlC,3,WRKY29,24,rmlC,27.44,2.0987861689620315,4.7862691448454064e-8,0.03056297689342306,0.18969744345147538,0.16111433205076942
N14,33,2hpi-OBC,3,WRKY29,02,OBC,25.21,2.0423220640449857,1.8850118712293753e-8,0.8062209724857018,0.46203813431030166,1.7449230109310616
N15,41,48hpi-Mock,3,WRKY29,48,Mock,27.42,1.988722220543236,2.9694786538589063e-8,0.21898645356702826,0.32735222594664687,0.6689627752912226
O01,08,10hpi-rmlC,1,FRK1,10,rmlC,26.36,1.9409965530861342,2.0350486089258154e-08,1.2562973100098427,1.404472548587301,0.8944975900550698
O02,17,0hpi-rmlC,1,FRK1,0,rmlC,26.88,2.007554859802425,9.154672851887653e-8,0.07992025652293133,0.278147807355142,0.2873301691028192
