HPI,Treatment,Target,Name,Sample,n_replicates,wells_used,MNE_fc,se_log,se_MNE
24,rmlC,FRK1,24hpi-rmlC,24,3,"M03,M08,M13",0.9749493316030889,0.1642540696593298,0.17404181408936245
24,rmlC,WRKY29,24hpi-rmlC,24,3,"N03,N08,N13",0.22422347353679153,0.3531302016650137,0.09496233525536035
24,tagG,FRK1,24hpi-tagG,40,3,"K06,K10,K15",3.7006851967228838,0.9391344052232453,5.764803317504126
24,tagG,WRKY29,24hpi-tagG,40,2,"L10,L15",3.851950276887259,0.6710066238078854,3.683256013089042
24,wfgD,FRK1,24hpi-wfgD,11,3,"E02,E07,E12",0.36735901617678784,0.6840076693897102,0.3606746449848059
24,wfgD,WRKY29,24hpi-wfgD,11,3,"F02,F07,F12",1.7877273703727186,0.1861746541448698,0.36582736440699987
48,Mock,FRK1,48hpi-Mock,41,2,"M06,M15",1,0.12413383646818626,0.13216738614418033
48,Mock,WRKY29,48hpi-Mock,41,3,"N06,N10,N15",0.9999999999999999,0.28722551669028484,0.33272473125896845
48,OBC,FRK1,48hpi-OBC,26,3,"A04,A09,A14",0.16739847396041443,0.9833486042970293,0.28012350261924923
48,OBC,WRKY29,48hpi-OBC,26,3,"B04,B09,B14",0.5212105296213992,0.13015260048393495,0.07244940107992613
48,WT,FRK1,48hpi-WT,25,3,"O03,O08,O13",0.5146680922181075,0.24621978946401013,0.14368539469467748
48,WT,WRKY29,48hpi-WT,25,3,"P03,P08,P13",3.6254836611534658,0.1351031525442148,0.5244438035998655
48,rmlC,FRK1,48hpi-rmlC,42,3,"O06,O10,O15",1.5615656104800237,0.44747334584467996,0.8812767429937702
48,rmlC,WRKY29,48hpi-rmlC,42,3,"P06,P10,P15",0.9487930523585162,0.008890983801297662,0.008473315898895975
48,tagG,FRK1,48hpi-tagG,27,2,"C09,C14",0.19208805411424776,0.5692222069451452,0.1473108381604161
48,tagG,WRKY29,48hpi-tagG,27,3,"D04,D09,D14",0.7696064344988779,0.5786290735370588,0.6030571227646626
48,wfgD,FRK1,48hpi-wfgD,43,2,"B22,B24",0.19115190978239305,0.18050995039777318,0.03781520770930187
48,wfgD,WRKY29,48hpi-wfgD,43,3,"D22,D23,D24",1.4375569869092006,0.16423865472972868,0.2565975035684625
