HPI,Treatment,Name,Target,Baseline,n_replicates,Samples,mean_log_MNE_fc,MNE_fc_global,se_log_MNE_fc,se_MNE_fc_global
6,WT,6hpi-WT,NHL10,Mock,3,"4,116,83",-0.2721048190410902,0.7617744084418517,0.9911367517971591,1.290670935055747
6,WT,6hpi-WT,NHL10,Time0,3,"4,116,83",-0.15438712431774249,0.8569402143945526,0.0466802604757061,0.040950547710585004
6,WT,6hpi-WT,PAD3,Mock,3,"4,116,83",0.24518321650969024,1.2778554159676885,0.07306137102159294,0.0968570416697093
6,WT,6hpi-WT,PAD3,Time0,3,"4,116,83",2.43191317335744,11.380634391904142,1.1072780572539866,23.058420279297383
6,WT,6hpi-WT,PDF1.2,Mock,3,"4,83,116",0.20976808641438408,1.233391986427814,0.3139876150083235,0.4549647345195773
6,WT,6hpi-WT,PDF1.2,Time0,3,"4,83,116",1.454111147433861,4.280676883474901,0.7400857368719546,4.692115088813894
6,WT,6hpi-WT,PR1,Mock,3,"4,83,116",1.0640851679384804,2.8981864170633753,1.0499900453462654,5.383736793925081
6,WT,6hpi-WT,PR1,Time0,3,"4,83,116",0.7352983672473048,2.086104324863615,2.717589434636548,29.505386349843235
6,WT,6hpi-WT,WRKY29,Mock,3,"4,83,116",0.005362794049560563,1.0053771995693357,0.30073625170080315,0.3527396160162536
6,WT,6hpi-WT,WRKY29,Time0,3,"4,83,116",0.88069874838543,2.412584907391666,0.3186063002233334,0.9052254970222453
6,rmlC,6hpi-rmlC,FRK1,Mock,3,"37,86,115",1.184264273818663,3.268281376523361,0.6005253576104029,2.690044994603453
6,rmlC,6hpi-rmlC,FRK1,Time0,3,"37,86,115",2.494022382398048,12.109888889237933,0.8916200109183021,17.427072080033707
6,rmlC,6hpi-rmlC,NHL10,Mock,3,"37,115,86",0.03449928869893733,1.0351012921072034,0.8093235972041735,1.2901378391478497
6,rmlC,6hpi-rmlC,NHL10,Time0,3,"37,115,86",0.8038961155653841,2.2342288066440568,1.1241756845386408,4.642009881222265
6,rmlC,6hpi-rmlC,PAD3,Mock,3,"37,115,86",0.7564174484264372,2.130629441327398,0.47773389695268176,1.3048323213929205
6,rmlC,6hpi-rmlC,PAD3,Time0,3,"37,115,86",1.7349363115777696,5.668566770234369,0.5426010256661384,4.08406659460564
6,rmlC,6hpi-rmlC,PDF1.2,Mock,3,"37,86,115",-0.23952179188691294,0.7870041228502441,1.0644253758487963,1.4946566431821124
6,rmlC,6hpi-rmlC,PDF1.2,Time0,3,"37,86,115",-0.3624171951178811,0.6959919428234029,0.5405131338152668,0.498948013895222
6,rmlC,6hpi-rmlC,PR1,Mock,1,115,2.2118277119750283,9.132392532,NA,NA
6,rmlC,6hpi-rmlC,PR1,Time0,1,115,-2.8523563304233193,0.057708181,NA,NA
6,rmlC,6hpi-rmlC,WRKY29,Mock,3,"37,86,115",0.3286969012508708,1.389156740100777,0.5774600008222852,1.0856366210058348
6,rmlC,6hpi-rmlC,WRKY29,Time0,3,"37,86,115",1.0957581505324356,2.9914497931329604,0.8859597806047942,4.2637464195521195
6,tagG,6hpi-tagG,FRK1,Mock,3,"35,107",1.0904409925072622,2.975585994396198,0.1897512044340192,0.6217450607608168
6,tagG,6hpi-tagG,FRK1,Time0,3,"35,48,107",2.310037596518435,10.07480342542603,0.6177920632462023,8.612225816472636
6,tagG,6hpi-tagG,NHL10,Mock,3,"35,107",-1.5995273692684764,0.20199196304700304,0.1787773064238714,0.03954082112340265
6,tagG,6hpi-tagG,NHL10,Time0,3,"35,107,48",-0.6482869458922454,0.5229408358467709,0.6231691843796444,0.45225422897348966
6,tagG,6hpi-tagG,PAD3,Mock,3,"35,107",0.9076585071740668,2.478512314942578,0.6196153782535159,2.1270919730946396
