"","gene_id.x","baseMean_col1025","log2FoldChange_col1025","lfcSE_col1025","stat_col1025","pvalue_col1025","padj_col1025","p25_id.x","dc3000_id.x","p25_id_final","logFC_tailocin","AveExpr_tailocin","t_tailocin","P.Value_tailocin","adj.P.Val_tailocin","B_tailocin","gene_id.y","baseMean_eyach1025","log2FoldChange_eyach1025","lfcSE_eyach1025","stat_eyach1025","pvalue_eyach1025","padj_eyach1025","p25_id.y","dc3000_id.y"
"163","WP_011103899.1",59.2641858265022,0.857340140843196,0.220753348494298,3.88370163664966,0.000102878139847704,0.003169893715065,NA,"WP_011103899.1","BJEIHDPM_03853",-5.33142911832766,7.16560150686337,-20.1943359060821,1.09494642292495e-24,1.46826709853008e-23,45.7531632363656,"WP_011103899.1",59.2641858265022,-0.00273414049296331,0.226966627235686,-0.0120464428020254,0.990388561739733,0.995096669849996,NA,"WP_011103899.1"
"164","BJEIHDPM_00270",199.408974930682,0.679515800263363,0.176163367911356,3.85730477522029,0.000114644179291181,0.00348749200956198,"BJEIHDPM_00270",NA,"BJEIHDPM_00270",-5.06259780136868,8.76746740916876,-22.6194666526643,8.95807525592921e-27,3.67434214984652e-25,50.7126468931931,"BJEIHDPM_00270",199.408974930682,0.525757228843365,0.178655608698943,2.94285319488252,0.00325202591414928,0.0409377504596822,"BJEIHDPM_00270",NA
"165","BJEIHDPM_03514",75.5965763257166,0.82620649038368,0.214261819012072,3.85606028266347,0.000115229083388775,0.00348749200956198,"BJEIHDPM_03514",NA,"BJEIHDPM_03514",-5.15287239991011,7.47010271215846,-19.8313689855161,2.33909458687305e-24,2.71626520406596e-23,45.1183221520176,"BJEIHDPM_03514",75.5965763257166,0.101087959721449,0.219305402369381,0.460946053445524,0.64483730954569,0.83472188732414,"BJEIHDPM_03514",NA
"166","BJEIHDPM_04301",16.8308018840823,1.9277873685053,0.500807764875648,3.84935598788883,0.000118428787040129,0.00356267427995276,"BJEIHDPM_04301",NA,"BJEIHDPM_04301",-5.21193557106,5.28012050121787,-12.5517146086636,1.47621882966704e-16,2.45644041732737e-16,27.4162413664635,"BJEIHDPM_04301",16.8308018840823,0.79422268453733,0.512807779984393,1.54877268937203,0.121436372943041,0.356934150425153,"BJEIHDPM_04301",NA
"167","WP_011103696.1",28.7275399808353,-1.27568678149382,0.331623956592852,-3.84678717002353,0.000119676841744819,0.00357904154959213,NA,"WP_011103696.1","BJEIHDPM_03394",5.18680470140904,10.0732495806977,24.5949919291565,2.43053104245422e-28,2.43002468182037e-26,54.4817648318224,"WP_011103696.1",28.7275399808353,-1.43619571911569,0.339027534901786,-4.23622146068976,2.27312589694591e-05,0.00103013932693412,NA,"WP_011103696.1"
"168","WP_011104977.1",19.0743947781619,1.45880774313926,0.379423040396885,3.84480536978806,0.000120648158498212,0.00358698969476556,NA,"WP_011104977.1","BJEIHDPM_02976",-5.52816685134221,5.27777067608329,-15.3557149290893,7.39265024278659e-20,2.25395988024986e-19,34.6431877211493,"WP_011104977.1",19.0743947781619,0.716526713375093,0.389157933710058,1.84122345019167,0.0655888202282791,0.251314580198287,NA,"WP_011104977.1"
"169","WP_007246952.1",10.7940808087605,2.08911629785251,0.545209445996738,3.83176834736098,0.000127225504751704,0.00372118262052954,NA,"WP_007246952.1","BJEIHDPM_04806",-4.76024366525453,5.53497456503483,-13.0428019704436,3.63862225450215e-17,6.57445338831168e-17,28.836295111568,"WP_007246952.1",10.7940808087605,-0.358356838882103,0.575747523476338,-0.622420113452439,0.533665658198829,0.764793317939712,NA,"WP_007246952.1"
"170","WP_005762606.1",43.8987909208971,1.20982177799172,0.315755608786391,3.83151318401493,0.000127357548381617,0.00372118262052954,NA,"WP_005762606.1","BJEIHDPM_04350",-5.81556243504929,6.04744779106824,-15.1767910268126,1.1676640412958e-19,3.42519543653946e-19,34.350401075949,"WP_005762606.1",43.8987909208971,1.37608467790046,0.319710882614423,4.30415338585783,1.67625502765111e-05,0.00081922856008243,NA,"WP_005762606.1"
"171","WP_005762555.1",33.9186109034223,1.03278448137856,0.269469528179934,3.83265777156418,0.000126766247643627,0.00372118262052954,NA,"WP_005762555.1","BJEIHDPM_04385",-4.7981898569165,5.47714770175333,-13.6831980013245,6.13093689265232e-18,1.25736607469395e-17,30.5565982703619,"WP_005762555.1",33.9186109034223,0.515081520248256,0.276003199441939,1.86621575869308,0.0620111851786062,0.242071854436454,NA,"WP_005762555.1"
"172","WP_011104015.1",14.1434909947413,2.04901935439431,0.535428289948666,3.82687914116521,0.000129778193780137,0.00377024192673265,NA,"WP_011104015.1","BJEIHDPM_04052",-5.42585475258943,5.31897180099452,-15.4242971033277,6.21044235938343e-20,1.92407442754558e-19,34.8349537557181,"WP_011104015.1",14.1434909947413,1.31515253218969,0.546150290376498,2.40804144090644,0.0160383603692299,0.10789639195764,NA,"WP_011104015.1"
"173","WP_005739535.1",12.2749855011309,-1.4935297374975,0.39138849019711,-3.81597766644935,0.000135644773763595,0.00391828426030747,NA,"WP_005739535.1","BJEIHDPM_02945",-5.08730678305331,5.93338407005478,-14.1242714882566,1.85165148727173e-18,4.20941520010282e-18,31.7623107617998,"WP_005739535.1",12.2749855011309,-0.858499715918416,0.393400888821208,-2.18225159198505,0.0290909695343702,0.152898687715182,NA,"WP_005739535.1"
"174","WP_011104305.1",2.17744618900722,-1.87398505855034,0.491900483860846,-3.809683299845,0.000139144914475473,0.00397422890558038,NA,"WP_011104305.1","BJEIHDPM_04639",-4.70574551642392,3.98359354390423,-12.4210698804615,2.15375517593056e-16,3.51799560561291e-16,26.906604342426,"WP_011104305.1",2.17744618900722,-1.03658051104592,0.475053796527938,-2.18202763270613,0.0291074934085673,0.152898687715182,NA,"WP_011104305.1"
"175","WP_011104099.1",36.0189856651387,1.00797876940744,0.264955938114526,3.80432601956536,0.000142190807879662,0.00401610037366778,NA,"WP_011104099.1","BJEIHDPM_04066",-4.93252242459317,6.39075779815844,-18.6740855704643,2.8371154605549e-23,2.18170069918553e-22,42.5303532393369,"WP_011104099.1",36.0189856651387,0.54185562645587,0.271074627612539,1.99891679729751,0.0456173569849009,0.200178278670538,NA,"WP_011104099.1"
"176","BJEIHDPM_04966",26.3028903088202,1.16713501080735,0.308245556253644,3.78638065376346,0.000152857459648749,0.00429352113179137,"BJEIHDPM_04966",NA,"BJEIHDPM_04966",-5.07145006517651,5.40432838945796,-11.7500864726485,1.55138552654692e-15,2.30071048884384e-15,25.1484269536353,"BJEIHDPM_04966",26.3028903088202,0.349931788964518,0.317151083459768,1.10335990388918,0.269870901811603,0.547986332191788,"BJEIHDPM_04966",NA
"177","BJEIHDPM_05233",0.634629677749836,-3.1385167222684,0.83084770803984,-3.77748736850087,0.000158418537012228,0.00442527385807785,"BJEIHDPM_05233",NA,"BJEIHDPM_05233",-3.75195952774013,2.55542565072825,-6.24453355559374,1.18325469623833e-07,1.27319266530219e-07,7.51660254278362,"BJEIHDPM_05233",0.634629677749836,-2.74347636915891,0.841445868709083,-3.26043120678441,0.00111242949103383,0.0192550729611238,"BJEIHDPM_05233",NA
"178","BJEIHDPM_04186",19.643243497401,1.47295834797136,0.390934661469514,3.76778652073097,0.000164701453838114,0.00457564038968836,"BJEIHDPM_04186",NA,"BJEIHDPM_04186",-5.29290701693893,3.95147726799269,-10.7698719180702,3.0818757139193e-14,4.15447234581425e-14,22.1543887301005,"BJEIHDPM_04186",19.643243497401,-0.312160669759373,0.407936968829045,-0.765217897890963,0.44414180372816,0.704437445620388,"BJEIHDPM_04186",NA
"179","WP_011105509.1",200.579328235896,0.870685277777495,0.231448336085986,3.76189905920959,0.000168628106252873,0.00465926789233482,NA,"WP_011105509.1","BJEIHDPM_01681",-4.81402491030177,9.19301107910372,-26.8598892575151,5.22054245306134e-30,1.67022554881609e-27,58.0827185803586,"WP_011105509.1",200.579328235896,0.309002863798857,0.234731359654967,1.31641065877632,0.188036246844326,0.455029461416972,NA,"WP_011105509.1"
"180","WP_007246000.1",12.1656003383675,1.4277356326327,0.381415606841104,3.74325435830289,0.000181652178966659,0.0049919982587378,NA,"WP_007246000.1","BJEIHDPM_04279",1.59113805866372,6.63863049841201,5.0619444583085,6.94115402231569e-06,7.1960678662979e-06,3.09834801519001,"WP_007246000.1",12.1656003383675,1.04859250692177,0.390939617019258,2.68223649195962,0.0073131740592219,0.0670150233184213,NA,"WP_007246000.1"
"181","WP_011105299.1",21.6181346659146,-1.26153195862504,0.33719022858871,-3.74130639522121,0.000183066173959647,0.00500380875489701,NA,"WP_011105299.1","BJEIHDPM_02247",-5.21629330546719,7.11532623749859,-18.812319015941,2.09272807459169e-23,1.69932352452885e-22,42.9419667501584,"WP_011105299.1",21.6181346659146,-0.388275918189784,0.33781779681156,-1.14936489982016,0.25040554712715,0.530380230826161,NA,"WP_011105299.1"
"182","BJEIHDPM_05236",9.21349811165502,-1.26627708456605,0.338751737832142,-3.73806815773007,0.00018543968031008,0.00504157932992753,"BJEIHDPM_05236",NA,"BJEIHDPM_05236",-4.52415180100567,5.5724968041481,-10.4503352058082,8.38608739923891e-14,1.10259817613555e-13,21.2811680703638,"BJEIHDPM_05236",9.21349811165502,-1.00407193008141,0.345101785837127,-2.90949502809959,0.00362013144894171,0.0432766313500586,"BJEIHDPM_05236",NA
"183","WP_007246027.1",1.2152300310503,-2.50893369133689,0.672525669756065,-3.73061401841646,0.000191013673494619,0.00516549742578002,NA,"WP_007246027.1","BJEIHDPM_05046",-3.77322897156965,3.19042521029024,-6.81149903184181,1.64237808986603e-08,1.80443508545492e-08,9.41497068983352,"WP_007246027.1",1.2152300310503,-3.08681708864162,0.702650741347506,-4.39310301263169,1.11744145420752e-05,0.000598972650454247,NA,"WP_007246027.1"
"184","WP_011103955.1",40.6665815722832,1.07313668476928,0.287919048234973,3.72721669979084,0.000193605989626782,0.00520789868392888,NA,"WP_011103955.1","BJEIHDPM_03939",-5.440032361388,6.57324035697021,-16.3876728413755,5.6729581890217e-21,2.26871052909293e-20,37.4298272486305,"WP_011103955.1",40.6665815722832,0.229931133113927,0.295106286794391,0.779146847773279,0.435893216218616,0.698465986129798,NA,"WP_011103955.1"
"185","WP_005763742.1",38.695163705782,1.20866093033033,0.325087761979764,3.71795272442636,0.000200843843204526,0.00537415841500952,NA,"WP_005763742.1","BJEIHDPM_02335",-4.80267540375062,6.90112348258931,-17.9131767915049,1.56345041437597e-22,9.44962032568044e-22,40.9830507472177,"WP_005763742.1",38.695163705782,-0.0678156292510369,0.334141758872597,-0.202954666545866,0.839170465581077,0.934120713498739,NA,"WP_005763742.1"
"186","WP_011103871.1",159.452375470495,0.833679321807756,0.224616492886112,3.71156770856741,0.000205979552218592,0.00545416689312146,NA,"WP_011103871.1","BJEIHDPM_03771",-5.21721938595937,8.53340558371241,-24.9859546610967,1.22601808334454e-28,1.43503921511474e-26,54.7706211415313,"WP_011103871.1",159.452375470495,0.475588103405351,0.227826408443751,2.08750208834009,0.0368427724761205,0.175082193320744,NA,"WP_011103871.1"
"187","WP_011103871.1",159.452375470495,0.833679321807756,0.224616492886112,3.71156770856741,0.000205979552218592,0.00545416689312146,NA,"WP_011103871.1","BJEIHDPM_03771",-5.21721938595937,8.53340558371241,-24.9859546610967,1.22601808334454e-28,1.43503921511474e-26,54.7706211415313,"WP_011103873.1",107.664874016503,-0.0710274617998085,0.257252871365409,-0.276099782376847,0.782471427817644,0.910706976923827,NA,"WP_011103873.1"
"188","BJEIHDPM_04133",52.2775496229296,1.35860890369741,0.365994159515334,3.71210542129016,0.000205542338041465,0.00545416689312146,"BJEIHDPM_04133",NA,"BJEIHDPM_04133",-5.81281177549858,6.74648368128876,-19.7043973630496,3.05842655192016e-24,3.38969723387178e-23,44.6288440747628,"BJEIHDPM_04133",52.2775496229296,0.456875664992627,0.372505019806482,1.2264953240898,0.220012333856971,0.494928467634025,"BJEIHDPM_04133",NA
"189","BJEIHDPM_04173",40.7688389783933,1.40355633943351,0.379029167920024,3.7030298938093,0.000213039767359346,0.00558295967657173,"BJEIHDPM_04173",NA,"BJEIHDPM_04173",-5.33752651491939,5.90604705025118,-12.7778072752547,7.71767166108927e-17,1.33083385920113e-16,28.1229893828273,"BJEIHDPM_04173",40.7688389783933,0.502208408772681,0.386279016078263,1.30011827686475,0.193560434408139,0.45973211148503,"BJEIHDPM_04173",NA
"190","BJEIHDPM_01728",106.798031156006,0.616682090930753,0.166633610934087,3.70082654678045,0.00021489833815522,0.00560278539067251,"BJEIHDPM_01728",NA,"BJEIHDPM_01728",-4.30277910613299,8.82050240171487,-21.1986428215796,1.41718051503164e-25,2.86467355859558e-24,48.0947926953518,"BJEIHDPM_01728",106.798031156006,0.421139132733402,0.169704866259176,2.48159726952221,0.0130795007241311,0.0963091744605521,"BJEIHDPM_01728",NA
"191","WP_005767120.1",2.26712664702374,-2.55733715687529,0.691504797635375,-3.69822041093597,0.0002171163231777,0.00563173156650727,NA,"WP_005767120.1","BJEIHDPM_01583",-5.8338215090335,5.41095213790943,-15.2014885773877,1.09602947425166e-19,3.23284907617316e-19,34.3250390404492,"WP_005767120.1",2.26712664702374,-2.40878984478132,0.707433807421231,-3.40496852074676,0.0006617168121076,0.0134158523568141,NA,"WP_005767120.1"
"192","WP_010202134.1",4.85139123244845,-1.51806282627879,0.41086592572871,-3.69478881361689,0.000220069622055759,0.00567936019559127,NA,"WP_010202134.1","BJEIHDPM_02678",-4.90556461734073,5.31516612173454,-13.4814355666836,1.06860003439419e-17,2.09314757757457e-17,29.9983501733563,"WP_010202134.1",4.85139123244845,-1.13601590322158,0.416295698326891,-2.72886774421948,0.00635521864157374,0.0623816354630406,NA,"WP_010202134.1"
"193","WP_011104749.1",47.131987356592,1.21637170868007,0.32962870613439,3.69012675790486,0.00022414233606123,0.00573215027360903,NA,"WP_011104749.1","BJEIHDPM_00248",-5.08043786081078,6.27045215332463,-13.4274871383194,1.24079938283155e-17,2.3981458873172e-17,29.9317128294008,"WP_011104749.1",47.131987356592,0.0803862529357198,0.33719664219792,0.238395769340243,0.811574148430715,0.922462162079654,NA,"WP_011104749.1"
"194","BJEIHDPM_05239",3.94599513340274,-1.57055463487559,0.425639751645929,-3.6898683189301,0.000224370162165263,0.00573215027360903,"BJEIHDPM_05239",NA,"BJEIHDPM_05239",-4.85664604935609,5.12245579333857,-13.4787789657578,1.07648194040743e-17,2.10772616565289e-17,29.948057255087,"BJEIHDPM_05239",3.94599513340274,-2.32551403171227,0.475198847709759,-4.8937703509177,9.89222643765221e-07,7.70511699870255e-05,"BJEIHDPM_05239",NA
"195","WP_011103699.1",71.2764483053793,1.06843623177726,0.290303600594598,3.68040985226809,0.000232859373166367,0.00591928526588905,NA,"WP_011103699.1","BJEIHDPM_03398",-5.2337402687192,6.60020570460185,-18.2008605815729,8.14863134163115e-23,5.36423618772125e-22,41.5201446527625,"WP_011103699.1",71.2764483053793,1.5057525150458,0.293358266266851,5.13281092845055,2.85446621041043e-07,2.73644501132615e-05,NA,"WP_011103699.1"
"196","WP_011104319.1",25.737718393912,1.09400841149362,0.298173708697168,3.66903043287669,0.000243472097942652,0.00615826938278827,NA,"WP_011104319.1","BJEIHDPM_04664",-4.82979416115579,5.56120475434269,-12.3116893763955,2.95985530654733e-16,4.76336204430605e-16,26.7911943108989,"WP_011104319.1",25.737718393912,0.631752177396606,0.305353565045588,2.06892026068956,0.0385535699956899,0.180121411835533,NA,"WP_011104319.1"
"197","BJEIHDPM_02020",39.2785486749756,1.66954329513057,0.456008515124606,3.66121078829934,0.000251026120125862,0.00631790492435585,"BJEIHDPM_02020",NA,"BJEIHDPM_02020",-4.59598024209452,5.71572711081385,-12.085993079377,5.73166785353893e-16,8.93931557657891e-16,26.1683396349402,"BJEIHDPM_02020",39.2785486749756,1.36480509152813,0.462177503701446,2.95298901525452,0.00314713161743401,0.0402026880166023,"BJEIHDPM_02020",NA
"198","WP_005765559.1",20.1161122898369,1.5029555801183,0.411798674067088,3.64973389854442,0.000262512111758833,0.00654221360873485,NA,"WP_005765559.1","BJEIHDPM_02228",-5.65901238821782,5.40948000741146,-13.9255676671416,3.16619175079798e-18,6.88470965658336e-18,31.0990968298337,"WP_005765559.1",20.1161122898369,0.168478662308758,0.42458537122468,0.396807506162531,0.691509415093645,0.867868689386158,NA,"WP_005765559.1"
