"contrast","parameter","shapiro_p","levene_p","method","anova_p","welch_p","kruskal_p","p.adj","p.adj.signif","statistic","lwr","upr"
"WT-rmlC","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.949808544829107,"NS",1.11217301284701,-2.7517139260265,4.97605995172052
"tagG-spsA","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.256022288217465,"NS",2.74919554006305,-1.11469139881046,6.61308247893656
"tagH-spsA","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.994312982040669,"NS",0.716920252747046,-3.14696668612646,4.58080719162056
"wfgD-spsA","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.997406022113313,"NS",0.61995151949813,-3.24393541937538,4.48383845837164
"WT-spsA","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,9.6890222825996e-05,"***",7.9446010242664,4.0807140853929,11.8084879631399
"tagH-tagG","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.570683443178716,"NS",-2.03227528731601,-5.89616222618952,1.8316116515575
"wfgD-tagG","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.521232012590614,"NS",-2.12924402056492,-5.99313095943843,1.73464291830859
"WT-tagG","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.00591992332387603,"**",5.19540548420335,1.33151854532984,9.05929242307686
"wfgD-tagH","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.999999950684716,"NS",-0.0969687332489162,-3.96085567212243,3.76691820562459
"WT-tagH","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.000265487576652568,"***",7.22768077151936,3.36379383264585,11.0915677103929
"WT-wfgD","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.000230990506130957,"***",7.32464950476827,3.46076256589476,11.1885364436418
