"contrast","parameter","shapiro_p","levene_p","method","anova_p","welch_p","kruskal_p","p.adj","p.adj.signif","statistic","lwr","upr"
"tagG-rmlC","n0",0.995703802033741,0.83095063676948,"Tukey",0.114841970382563,0.0592120681099911,0.184320673028485,0.999749624074,"NS",-0.00227639207809093,-0.0237511139438927,0.0191983297877109
"tagH-rmlC","n0",0.995703802033741,0.83095063676948,"Tukey",0.114841970382563,0.0592120681099911,0.184320673028485,0.309298964523137,"NS",0.014450985400977,-0.00702373646482477,0.0359257072667788
"wfgD-rmlC","n0",0.995703802033741,0.83095063676948,"Tukey",0.114841970382563,0.0592120681099911,0.184320673028485,0.634417356944642,"NS",0.010608868366373,-0.0108658534994288,0.0320835902321748
"WT-rmlC","n0",0.995703802033741,0.83095063676948,"Tukey",0.114841970382563,0.0592120681099911,0.184320673028485,0.99770174807419,"NS",0.00337043526872992,-0.0181042865970719,0.0248451571345317
"tagG-spsA","n0",0.995703802033741,0.83095063676948,"Tukey",0.114841970382563,0.0592120681099911,0.184320673028485,0.252987299702937,"NS",-0.0153303750274089,-0.0368050968932107,0.00614434683839292
"tagH-spsA","n0",0.995703802033741,0.83095063676948,"Tukey",0.114841970382563,0.0592120681099911,0.184320673028485,0.999985602143282,"NS",0.00139700245165908,-0.0200777194141427,0.0228717243174609
"wfgD-spsA","n0",0.995703802033741,0.83095063676948,"Tukey",0.114841970382563,0.0592120681099911,0.184320673028485,0.999622349294041,"NS",-0.00244511458294495,-0.0239198364487467,0.0190296072828568
"WT-spsA","n0",0.995703802033741,0.83095063676948,"Tukey",0.114841970382563,0.0592120681099911,0.184320673028485,0.718817729067488,"NS",-0.00968354768058803,-0.0311582695463898,0.0117911741852138
"tagH-tagG","n0",0.995703802033741,0.83095063676948,"Tukey",0.114841970382563,0.0592120681099911,0.184320673028485,0.180083131634787,"NS",0.016727377479068,-0.00474734438673384,0.0382020993448697
"wfgD-tagG","n0",0.995703802033741,0.83095063676948,"Tukey",0.114841970382563,0.0592120681099911,0.184320673028485,0.429153957150325,"NS",0.0128852604444639,-0.00858946142133787,0.0343599823102657
"WT-tagG","n0",0.995703802033741,0.83095063676948,"Tukey",0.114841970382563,0.0592120681099911,0.184320673028485,0.966947051721711,"NS",0.00564682734682085,-0.015827894518981,0.0271215492126226
"wfgD-tagH","n0",0.995703802033741,0.83095063676948,"Tukey",0.114841970382563,0.0592120681099911,0.184320673028485,0.99531724024004,"NS",-0.00384211703460403,-0.0253168389004058,0.0176326048311978
