HPI,Treatment,Target,Name,Sample,n_replicates,wells_used,MNE_fc,se_log,se_MNE
24,rmlC,WRKY29,24hpi-rmlC,24,3,"N03,N08,N13",0.28754472139327325,0.3531302016650136,0.1217799269770777
24,tagG,FRK1,24hpi-tagG,40,3,"K06,K10,K15",7.99190585944167,0.9391344052232453,12.449522983605451
24,tagG,WRKY29,24hpi-tagG,40,2,"L10,L15",0.9553111846205021,0.6710066238078853,0.9134738021509683
24,wfgD,FRK1,24hpi-wfgD,11,3,"E02,E07,E12",0.42050678020798155,0.6840076693897102,0.4128553458239602
24,wfgD,WRKY29,24hpi-wfgD,11,3,"F02,F07,F12",0.6626459329951625,0.18617465414486975,0.13559898406214896
48,Mock,FRK1,48hpi-Mock,41,2,"M06,M15",2.6965783101200897,0.1241338364681862,0.35639970678166255
48,Mock,WRKY29,48hpi-Mock,41,3,"N06,N10,N15",0.6235710438094244,0.2872255166902848,0.20747750797236522
48,OBC,FRK1,48hpi-OBC,26,3,"A04,A09,A14",0.933455839813359,0.9833486042970293,1.5620388478018334
48,OBC,WRKY29,48hpi-OBC,26,3,"B04,B09,B14",0.3754342959439897,0.1301526004839349,0.0521861864643516
48,WT,FRK1,48hpi-WT,25,3,"O03,O08,O13",8.059083615727433,0.24621978946401007,2.2499405494764493
48,WT,WRKY29,48hpi-WT,25,3,"P03,P08,P13",7.988829779454832,0.1351031525442148,1.1556229919723857
48,rmlC,FRK1,48hpi-rmlC,42,3,"O06,O10,O15",47.341246600242876,0.44747334584467996,26.717250516487763
48,rmlC,WRKY29,48hpi-rmlC,42,3,"P06,P10,P15",2.099663214770431,0.008890983801297596,0.01875130689017596
48,tagG,FRK1,48hpi-tagG,27,2,"C09,C14",0.7738096978880132,0.5692222069451451,0.5934286528028633
48,tagG,WRKY29,48hpi-tagG,27,3,"D04,D09,D14",0.32937201794901816,0.5786290735370588,0.2580931402852185
48,wfgD,FRK1,48hpi-wfgD,43,2,"B22,B24",0.408156329172262,0.1805099503977732,0.08074476673074257
48,wfgD,WRKY29,48hpi-wfgD,43,3,"D22,D23,D24",0.9195156764621132,0.16423865472972868,0.1641294426731113
72,Mock,FRK1,72hpi-Mock,12,3,"G02,G07,G12",2.0107337911491774,0.3295784971351623,0.784954188289569
