strain,HTF_length_haplotype,OBC_presence
plate2.B4,1803,Present
plate2.B5,NA,Absent
plate2.B6,NA,Absent
plate2.B7,1803,Present
plate2.B8,1803,Present
plate2.B9,1803,Present
plate2.C1,1383,Absent
plate2.C10,1803,Present
plate2.C11,NA,Absent
plate2.C2,1803,Present
plate2.C3,1803,Present
plate2.C4,NA,Absent
plate2.C5,1245,Present
plate2.C6,NA,Absent
plate2.C7,1803,Present
plate2.C8,1803,Present
plate2.C9,NA,Absent
plate2.D1,1383,Absent
plate2.D10,NA,Absent
plate2.D2,1245,Present
plate2.D3,1383,Absent
plate2.D4,NA,Absent
plate2.D5,1245,Present
plate2.D6,1245,Present
plate2.D7,1245,Present
plate2.D8,1245,Present
plate2.D9,1803,Present
plate2.E1,1245,Present
plate2.E10,NA,Absent
plate2.E2,1245,Present
plate2.E3,1245,Present
plate2.E4,NA,Absent
plate2.E6,1245,Present
plate2.E7,1245,Present
plate2.E8,1245,Present
plate2.E9,1245,Present
plate2.F1,NA,Absent
plate2.F10,1245,Present
plate2.F11,1245,Present
plate2.F12,1245,Present
plate2.F2,1830,Absent
plate2.F3,1830,Absent
plate2.F4,1245,Present
plate2.F5,1245,Present
plate2.F8,1803,Present
plate2.F9,1245,Present
plate2.G1,NA,Absent
plate2.G10,NA,Absent
plate2.G2,NA,Absent
plate2.G3,NA,Present
plate2.G4,1245,Present
plate2.G5,NA,Absent
plate2.G6,NA,Absent
plate2.G7,1830,Absent
plate2.G8,1830,Absent
plate2.G9,NA,Absent
plate2.H1,NA,Absent
plate2.H10,NA,Absent
plate2.H2,NA,Absent
plate2.H4,NA,Present
plate2.H5,1245,Present
plate2.H6,NA,Absent
plate2.H7,1830,Absent
plate2.H8,1830,Absent
plate2.H9,NA,Absent
plate20.A1,1803,Present
plate20.A10,NA,Absent
plate20.A11,1245,Present
plate20.A12,1245,Present
plate20.A2,1830,Absent
plate20.A3,1245,Present
plate20.A4,1803,Present
plate20.A5,1245,Present
plate20.A7,1803,Present
plate20.A8,1383,Absent
plate20.B1,1803,Present
plate20.B10,NA,Absent
plate20.B11,1245,Present
plate20.B12,1245,Present
plate20.B2,1830,Absent
plate20.B3,1245,Present
plate20.B4,1803,Present
plate20.B5,1245,Present
plate20.B7,1803,Present
plate20.B8,1383,Absent
plate20.C1,1803,Present
plate20.C1,1803,Present
plate20.C10,1245,Present
plate20.C11,1245,Present
plate20.C12,1245,Present
plate20.C2,1830,Present
plate20.C3,1245,Present
plate20.C4,1803,Present
plate20.C5,1245,Present
plate20.C7,1803,Present
plate20.C9,1245,Present
plate20.D1,1803,Present
plate20.D10,1245,Present
plate20.D11,1245,Present
plate20.D12,1245,Present
plate20.D2,1830,Absent
plate20.D3,1245,Present
plate20.D4,1803,Present
plate20.D5,1245,Present
plate20.D7,1803,Present
plate20.D8,1383,Present
plate20.E1,1803,Present
plate20.E10,1245,Present
plate20.E11,1245,Present
plate20.E12,1245,Present
plate20.E2,1830,Absent
plate20.E3,1245,Present
plate20.E4,1803,Present
plate20.E5,1245,Present
plate20.E7,1803,Present
plate20.E8,1383,Absent
plate20.E9,1245,Present
plate20.F1,1803,Present
plate20.F10,1245,Present
plate20.F11,1245,Present
plate20.F12,1245,Present
plate20.F2,1830,Absent
plate20.F3,1245,Present
plate20.F4,1803,Present
plate20.F5,1245,Present
plate20.F8,1383,Absent
plate20.F9,1245,Present
plate20.G1,1803,Present
plate20.G10,1245,Present
plate20.G11,1245,Present
plate20.G12,1245,Present
plate20.G2,1830,Absent
plate20.G3,1245,Present
plate20.G4,1803,Present
plate20.G5,1245,Present
plate20.G7,1803,Present
plate20.G8,1383,Absent
plate20.G9,1245,Present
plate20.H1,1803,Present
plate20.H10,1245,Present
plate20.H11,1245,Present
plate20.H12,1245,Present
plate20.H2,1830,Absent
plate20.H3,1245,Present
plate20.H4,1803,Present
plate20.H5,1245,Present
plate20.H7,1803,Present
plate20.H7,1803,Present
plate20.H8,1383,Absent
plate20.H9,1245,Present
plate21.A1,1803,Present
plate21.A10,1803,Present
plate21.A11,1245,Present
plate21.A12,1383,Absent
plate21.A2,1803,Present
