tnseq_ID,baseMean_Ey,log2FoldChange_Ey,pvalue_Ey,padj_Ey,logFC_tailocin,AveExpr_tailocin,t_tailocin,P.Value_tailocin,adj.P.Val_tailocin,Significance_for_both,Category,name_p25c2_new
BJEIHDPM_01466,17.3822974858248,0.188549561591583,0.739011334468824,0.855292701790967,-5.547436251,4.583352776,-14.06869079,2.15039798880154E-18,4.82006536583773E-18,Not Significant,Non-Focal Trade-off,DAKCFMEO_05093
BJEIHDPM_01467,0.435730762036211,-2.2855166999544,0.0197455211620997,0.0948637723847163,-3.509614526,2.553454026,-7.040403088,7.4066295779641E-09,8.21456328741615E-09,Significant,Mutual Detriment,DAKCFMEO_05094
BJEIHDPM_01469,5.34448443338652,-0.296602891734098,0.534630585421884,0.71620773277476,-4.837752647,4.616222837,-12.21230093,3.95648164104746E-16,6.27882122863319E-16,Not Significant,Mutual Detriment,DAKCFMEO_05096
BJEIHDPM_01470,4.46574881013401,0.388105775307542,0.484803913446869,0.680593265082884,-4.690140395,4.270112901,-10.89091828,2.11642919413663E-14,2.88625851169699E-14,Not Significant,Non-Focal Trade-off,DAKCFMEO_05097
BJEIHDPM_01471,6.25072040622214,-0.471237055450622,0.28503054813164,0.501586135120434,-4.140429058,4.953738382,-9.261166172,3.88770296669323E-12,4.78632286740913E-12,Not Significant,Mutual Detriment,DAKCFMEO_05098
BJEIHDPM_01473,15.203417255916,-1.94707145293818,1.58571834260652E-05,0.000542803586507616,-5.242298074,6.965996214,-15.27899941,8.98927233000504E-20,2.69621986948089E-19,Significant,Mutual Detriment,DAKCFMEO_05100
BJEIHDPM_01474,42.1564251112196,-1.28087702562139,2.24477194251116E-05,0.000707202488083161,-5.063214183,8.829266344,-24.12380001,5.61488166366014E-28,4.89923947343727E-26,Significant,Mutual Detriment,DAKCFMEO_05101
BJEIHDPM_01475,39.7461896207582,-0.211229214581877,0.442546591545971,0.646742966298709,-4.647250744,7.830036321,-20.79979447,3.16163543605472E-25,5.1961261841187E-24,Not Significant,Mutual Detriment,DAKCFMEO_05102
BJEIHDPM_01478,43.2733019162356,0.196969433186878,0.547499217845762,0.726191212939982,-5.145650699,7.117008142,-19.01520243,1.34304341196249E-23,1.17614330912555E-22,Not Significant,Non-Focal Trade-off,DAKCFMEO_05105
BJEIHDPM_01479,20.4603836395267,-0.00327845446617795,0.99099076191964,0.997181416004854,-4.700945065,6.601204234,-18.12820245,9.59927948076485E-23,6.1669266704405E-22,Not Significant,Mutual Detriment,DAKCFMEO_05106
