"","strain","ecotype","batch","replicate","lux_0dpi","lux_7dpi","log_lux_7dpi","log_lux_0dpi","fold_change_7dpi","normalized_value_7dpi"
"346","epsE","Col0","1",1,786,211.3333333,2.32496800309357,2.89542254603941,0.802980555039833,-0.0158768797162498
"347","epsE","Col0","1",2,786,89.66666667,1.95263102529889,2.89542254603941,0.674385515153861,-0.144471919602221
"348","epsE","Col0","1",3,786,162,2.20951501454263,2.89542254603941,0.763106240767857,-0.0557511939882254
"349","epsE","Col0","1",4,786,74.33333333,1.87118360830902,2.89542254603941,0.646255798093642,-0.17260163666244
"350","epsE","Col0","1",5,786,124.6666667,2.09575034759694,2.89542254603941,0.723815026744084,-0.0950424080119983
"351","epsE","Col0","1",6,786,119.3333333,2.0767617718029,2.89542254603941,0.717256890412649,-0.101600544343434
"352","epsE","Col0","1",7,786,78.66666667,1.89579074826885,2.89542254603941,0.654754433290596,-0.164103001465487
"353","epsE","Col0","1",8,786,821.3333333,2.9145194487551,2.89542254603941,1.0065955494965,0.18773811474042
"354","OBC","Col0","1",1,701,242.3333333,2.38441315607964,2.84571801796666,0.837895090457123,0.0190376557010401
"355","OBC","Col0","1",2,701,102.3333333,2.01001712061606,2.84571801796666,0.706330391108909,-0.112527043647173
"356","OBC","Col0","1",3,701,99.33333333,1.99709500934202,2.84571801796666,0.701789494508313,-0.11706794024777
"357","OBC","Col0","1",4,701,76.66666667,1.88460658131681,2.84571801796666,0.662260480278863,-0.15659695447722
"358","OBC","Col0","1",5,701,73.66666667,1.8672710189851,2.84571801796666,0.656168674196087,-0.162688760559995
"359","OBC","Col0","1",6,701,75,1.8750612633917,2.84571801796666,0.65890620629077,-0.159951228465313
"360","OBC","Col0","1",7,701,322.3333333,2.50830521931843,2.84571801796666,0.881431400961744,0.0625739662056609
"361","OBC","Col0","1",8,701,70.33333333,1.84716120055745,2.84571801796666,0.649101980201571,-0.169755454554512
"362","rmlC","Col0","1",1,580,78.33333333,1.89394660753359,2.76342799356294,0.685361301957318,-0.133496132798765
"363","rmlC","Col0","1",2,580,102,2.00860017176192,2.76342799356294,0.726850917208881,-0.092006517547202
"364","rmlC","Col0","1",3,580,195.6666667,2.29151684660194,2.76342799356294,0.829229801514547,0.0103723667584644
"365","rmlC","Col0","1",4,580,112.3333333,2.05050864602281,2.76342799356294,0.742016311190019,-0.076841123566064
"366","rmlC","Col0","1",5,580,93.66666667,1.97158506520087,2.76342799356294,0.713456283208188,-0.105401151547895
"367","rmlC","Col0","1",6,580,87.33333333,1.94118003658351,2.76342799356294,0.70245363407523,-0.116403800680853
"368","rmlC","Col0","1",7,580,261,2.41664050733828,2.76342799356294,0.874508224193844,0.055650789437761
"369","rmlC","Col0","1",8,580,101.6666667,2.00717858476952,2.76342799356294,0.726336488392312,-0.0925209463637711
"370","tagG","Col0","1",1,3997,85,1.92941892571429,3.6017341482601,0.535691654712034,-0.283165780044049
"371","tagG","Col0","1",2,3997,96.33333333,1.98377658802186,3.6017341482601,0.550783735379293,-0.268073699376789
"372","tagG","Col0","1",3,3997,98.33333333,1.99270076124378,3.6017341482601,0.553261478836908,-0.265595955919174
"373","tagG","Col0","1",4,3997,81.33333333,1.91026857160127,3.6017341482601,0.530374673134624,-0.288482761621458
"374","tagG","Col0","1",5,3997,79,1.89762709129044,3.6017341482601,0.526864841539493,-0.29199259321659
"375","tagG","Col0","1",6,3997,66,1.81954393554187,3.6017341482601,0.505185519153555,-0.313671915602527
"376","tagG","Col0","1",7,3997,62.66666667,1.79703659456712,3.6017341482601,0.498936490200204,-0.319920944555879
"377","tagG","Col0","1",8,3997,278.3333333,2.44456522071193,3.6017341482601,0.678718950395833,-0.14013848436025
"378","wfgD","Col0","1",1,915,344.6666667,2.53739928408026,2.96142109406645,0.856818130040418,0.0379606952843352
"379","wfgD","Col0","1",2,915,189.6666667,2.27799101175173,2.96142109406645,0.769222254922123,-0.0496351798339594
"380","wfgD","Col0","1",3,915,527,2.72181061521255,2.96142109406645,0.919089359046578,0.100231924290495
"381","wfgD","Col0","1",4,915,4084.333333,3.61112117875647,2.96142109406645,1.2193879438462,0.400530509090122
"382","wfgD","Col0","1",5,915,224,2.35024801833416,2.96142109406645,0.793621691640935,-0.0252357431151479
"383","wfgD","Col0","1",6,915,186,2.26951294421792,2.96142109406645,0.766359417363897,-0.0524980173921861
"384","wfgD","Col0","1",7,915,427.3333333,2.63076677042926,2.96142109406645,0.888346063212796,0.0694886284567131
"385","wfgD","Col0","1",8,915,72,1.85733249643127,2.96142109406645,0.627176087910176,-0.191681346845907
"386","WT","Col0","1",1,318,179,2.25285303097989,2.50242711998443,0.900267189796883,0.0814097550408007
"387","WT","Col0","1",2,318,126,2.10037054511756,2.50242711998443,0.839333352945211,0.0204759181891289
"388","WT","Col0","1",3,318,324.3333333,2.51099158550405,2.50242711998443,1.00342246351601,0.184565028759928
